gene,cluster
Rb1cc1,#F8766D
Pcmtd1,#F8766D
Adhfe1,#CD9600
Vcpip1,#7CAE00
Cspp1,#F8766D
Ncoa2,#CD9600
Lactb2,#CD9600
Stau2,#7CAE00
Gsta3,#CD9600
Gm28836,#F8766D
Fam135a,#F8766D
Hs6st1,#F8766D
Rev1,#7CAE00
Il1r1,#CD9600
Tpp2,#7CAE00
Myo1b,#F8766D
Hibch,#F8766D
Sf3b1,#F8766D
Coq10b,#7CAE00
Aox3,#00BE67
Clk1,#F8766D
Fam126b,#F8766D
Cflar,#F8766D
Als2,#F8766D
Sumo1,#7CAE00
Bmpr2,#7CAE00
Nbeal1,#7CAE00
Raph1,#F8766D
Pard3b,#00BFC4
Idh1,#F8766D
Kansl1l,#00BFC4
Cps1,#00BE67
Erbb4,#00BFC4
Fn1,#CD9600
Pecr,#CD9600
Igfbp2,#00A9FF
Tns1,#F8766D
Cyp27a1,#CD9600
Cul3,#7CAE00
Pid1,#00BE67
Trip12,#F8766D
Psmd1,#F8766D
Dis3l2,#F8766D
Gigyf2,#F8766D
Ngef,#F8766D
Usp40,#F8766D
Hjurp,#00A9FF
Hdlbp,#CD9600
Rnf152,#CD9600
2310035C23Rik,#00BFC4
Phlpp1,#F8766D
Epb41l5,#7CAE00
Ccnt2,#7CAE00
Rab3gap1,#F8766D
R3hdm1,#F8766D
Ubxn4,#F8766D
Mdm4,#7CAE00
Etnk2,#00BE67
Kdm5b,#F8766D
Ppp1r12b,#F8766D
Nr5a2,#F8766D
Nek7,#F8766D
Dennd1b,#F8766D
Gm4788,#00BE67
Cfhr2,#00BE67
Cfh,#00BE67
C730036E19Rik,#F8766D
Ivns1abp,#7CAE00
Cep350,#F8766D
Tor1aip1,#F8766D
Tor1aip2,#F8766D
Rasal2,#7CAE00
Sec16b,#CD9600
Rabgap1l,#CD9600
Gm36975,#F8766D
Rc3h1,#7CAE00
Serpinc1,#00BE67
Prrc2c,#F8766D
F5,#CD9600
Dcaf6,#F8766D
Nos1ap,#F8766D
Atf6,#F8766D
Dcaf8,#F8766D
Crp,#CD9600
Grem2,#00A9FF
Kmo,#CD9600
Desi2,#7CAE00
Hnrnpu,#F8766D
Smyd3,#7CAE00
Cdc42bpa,#7CAE00
Wdr26,#7CAE00
Marc1,#00BE67
Marc2,#CD9600
Eprs,#F8766D
Prox1,#F8766D
Prox1os,#CD9600
Ppp2r5a,#00A9FF
Lpgat1,#F8766D
Phyh,#00BE67
Mcm10,#CD9600
Optn,#CD9600
Camk1d,#CD9600
Dhtkd1,#00BE67
Usp6nl,#F8766D
Celf2,#00BFC4
Itih2,#CD9600
Il15ra,#CD9600
Mindy3,#7CAE00
Pter,#7CAE00
Mllt10,#F8766D
Dnajc1,#00BFC4
Etl4,#00BFC4
Arhgap21,#7CAE00
Abi1,#7CAE00
Acbd5,#CD9600
Ehmt1,#F8766D
Rabl6,#7CAE00
Sardh,#CD9600
Kyat1,#CD9600
Ass1,#00BE67
Abl1,#F8766D
Slc25a25,#00A9FF
Fpgs,#CD9600
Mapkap1,#F8766D
Gapvd1,#7CAE00
Fbxw2,#7CAE00
Hc,#CD9600
AI182371,#00BE67
Rabgap1,#7CAE00
Strbp,#F8766D
Dennd1a,#F8766D
Nr6a1,#7CAE00
Kynu,#00BE67
Mbd5,#F8766D
Neb,#CD9600
Upp2,#00BE67
Pkp4,#F8766D
Baz2b,#F8766D
Cd302,#CD9600
Dpp4,#F8766D
Grb14,#F8766D
Cobll1,#F8766D
B3galt1,#CD9600
Abcb11,#00BE67
Ubr3,#F8766D
Tlk1,#7CAE00
Rapgef4,#CD9600
Atf2,#7CAE00
Ccdc141,#00A9FF
Zfp385b,#F8766D
Gm13944,#7CAE00
Nckap1,#7CAE00
Serping1,#CD9600
Olfr1033,#F8766D
Ptprj,#00BFC4
Celf1,#F8766D
Ambra1,#F8766D
Phf21a,#7CAE00
Hsd17b12,#F8766D
Ttc17,#F8766D
Trim44,#7CAE00
Cat,#CD9600
Abtb2,#00A9FF
Caprin1,#CD9600
Fbxo3,#00A9FF
Cstf3,#7CAE00
Them7,#CD9600
Elp4,#F8766D
Lgr4,#F8766D
Bbox1,#CD9600
Fmn1,#00BFC4
Ivd,#F8766D
Ino80,#F8766D
Chp1,#F8766D
Sord,#00BE67
Slc27a2,#00BE67
Trpm7,#F8766D
Sppl2a,#7CAE00
Stard7,#F8766D
4930402H24Rik,#F8766D
Atrn,#CD9600
Gpcpd1,#F8766D
Hao1,#CD9600
Plcb1,#00BE67
Rrbp1,#F8766D
Rin2,#CD9600
Ralgapa2,#F8766D
Xrn2,#7CAE00
9030622O22Rik,#00BE67
Asxl1,#7CAE00
Cbfa2t2,#F8766D
Pxmp4,#CD9600
Ahcy,#F8766D
Itch,#CD9600
Ncoa6,#7CAE00
Acss2,#F8766D
Uqcc1,#7CAE00
Rbm39,#F8766D
Top1,#F8766D
Zhx3,#CD9600
Chd6,#7CAE00
Hnf4aos,#00BE67
Hnf4a,#CD9600
Sdc4,#F8766D
Ncoa3,#7CAE00
Arfgef2,#F8766D
B4galt5,#7CAE00
Tshz2,#00BFC4
Ctcflos,#CD9600
Pck1,#00BE67
Dido1,#F8766D
Dnajc5,#7CAE00
Prpf6,#F8766D
Otc,#00BE67
Usp9x,#7CAE00
Maob,#F8766D
Upf3b,#7CAE00
Lamp2,#F8766D
Thoc2,#F8766D
Xiap,#F8766D
Stag2,#7CAE00
Enox2,#7CAE00
Gpc4,#F8766D
F9,#F8766D
Atp11c,#00BE67
Mecp2,#7CAE00
Tbl1x,#7CAE00
Dmd,#F8766D
Gk,#00A9FF
Gjb1,#F8766D
Ogt,#F8766D
Hdac8,#00A9FF
Slc16a2,#CD9600
Abcb7,#7CAE00
Atrx,#7CAE00
Magt1,#F8766D
Diaph2,#F8766D
Tsc22d3,#F8766D
Acsl4,#7CAE00
Pfkfb1,#F8766D
Huwe1,#F8766D
Reps2,#00A9FF
Txlng,#CD9600
Zfhx4,#F8766D
Ythdf3,#7CAE00
Cyp7b1,#00BE67
Cp,#F8766D
Tbl1xr1,#7CAE00
Naaladl2,#F8766D
Slc2a2,#CD9600
Pik3ca,#7CAE00
Ttc14,#7CAE00
Fxr1,#7CAE00
Dcun1d1,#F8766D
4932438A13Rik,#F8766D
Abhd18,#F8766D
Larp1b,#F8766D
Noct,#F8766D
Elf2,#7CAE00
Foxo1,#CD9600
Rnf13,#7CAE00
Tsc22d2,#7CAE00
Mbnl1,#F8766D
Arhgef26,#CD9600
Ccnl1,#F8766D
Rsrc1,#7CAE00
Kpna4,#7CAE00
Ppm1l,#7CAE00
Golim4,#F8766D
Rapgef2,#7CAE00
Fnip2,#7CAE00
Tdo2,#00BE67
Fgg,#F8766D
Fgb,#F8766D
Tmem131l,#7CAE00
Sh3d19,#F8766D
Lrba,#7CAE00
Arhgef11,#F8766D
2810403A07Rik,#00BFC4
Ash1l,#F8766D
Il6ra,#F8766D
Ubap2l,#7CAE00
Gatad2b,#F8766D
Selenbp2,#CD9600
Arnt,#F8766D
Fmo5,#00BE67
Pde4dip,#CD9600
Hmgcs2,#CD9600
Zfp697,#F8766D
