"Gene.Symbol","log2FoldChange","pvalue","padj"
"Itga2",5.80667154537885,2.42108536573493e-59,4.41775446685653e-55
"Cd28",6.07601939385663,3.31115081589801e-52,3.02092844688455e-48
"Tgm2",3.71999336361567,5.66000764988897e-51,3.44260531958414e-47
"Serpine1",8.46317360816762,3.45179362891013e-48,1.57462195866808e-44
"Map3k6",5.00960073403395,1.14428779445259e-39,4.17596387707529e-36
"Mup-ps12",-7.20355341034256,9.70845967325977e-37,2.95250439429952e-33
"Kcnj8",3.29981755283389,5.04799635870719e-30,1.31586842224757e-26
"Ccdc120",5.03483413108582,1.30051380537391e-28,2.96630942583222e-25
"Mab21l3",7.11626384535361,4.9499810869334e-27,1.00358116548082e-23
"Tert",-4.81652201823239,1.01434476805378e-25,1.85087489826774e-22
"Fahd2a",-3.86950238000038,3.05415419486866e-25,5.0662865085244e-22
"Dusp8",4.2834821960465,4.02908161096487e-25,6.126554346273e-22
"Adcy1",5.64147027984117,4.89814301590878e-25,6.87510889317596e-22
"Tmem86b",-3.45034774112353,5.5614166520842e-25,7.24851211789859e-22
"Mup-ps16",-8.36487325756079,3.54822291525167e-24,4.31629490230649e-21
"Hilpda",4.89021594066512,4.73603187382119e-24,5.40114835010096e-21
"Kptn",-3.11048579429963,2.58771423758117e-23,2.77753068783198e-20
"Svip",-4.16835843455917,5.19239411816558e-23,5.26364530412041e-20
"Tes",4.54896946679044,5.66553773117927e-23,5.44100352530675e-20
"Cdkn1a",5.49970501123012,5.99206385204376e-23,5.46685945541212e-20
"Ier3",6.85551270436889,6.87163306451493e-23,5.97079469181924e-20
"Tubb6",3.63755316395269,1.20276741001209e-22,9.97586224113206e-20
"Klf4",4.08865978674325,3.18092778344754e-22,2.52358214193771e-19
"Tmem9",-3.03345531326477,3.8157130884846e-22,2.90105486356577e-19
"Mt2",6.2116450805567,8.14468825272885e-22,5.94464506190174e-19
"Lcn2",8.32553446837449,8.62508714076734e-22,6.05315250221468e-19
"Gm32845",5.14953901325527,1.05082927364743e-21,7.10165990972024e-19
"Ddah1",-3.49991218227364,2.53595123967192e-21,1.65262508108191e-18
"Ifrd1",3.05431100961118,3.43865309221166e-21,2.16362424046849e-18
"Syt1",-2.91684669631025,4.12319554888768e-21,2.50786497268512e-18
"Itgb3",3.0901338696898,5.39821448035489e-21,3.17745869751728e-18
"Ly6d",7.09492996355534,5.78129155522445e-21,3.29660084400564e-18
"Ccl2",6.20623301837016,6.10518833577352e-21,3.37579913826847e-18
"Arid5a",4.02241210714519,1.1004298066332e-20,5.90574784754002e-18
"Sh3bp4",3.58009221751856,2.32718703217238e-20,1.21326233645855e-17
"D3Ertd751e",-3.9363252456213,2.46439893147392e-20,1.24910798062791e-17
"Tnfrsf12a",5.01389155945878,4.01666571863416e-20,1.98086755048426e-17
"Scn8a",5.59643587105572,5.25911749248034e-20,2.52534518119181e-17
"Sgk1",3.48459112264099,8.23475482665699e-20,3.82201116122272e-17
"Sfn",5.47745698735108,8.37838803358956e-20,3.82201116122272e-17
"Adamts9",2.93834462802186,9.52677188280284e-20,4.23987820842691e-17
"Reg3b",8.44322361134431,2.36467998585376e-19,1.02734085004461e-16
"Akr1c18",5.06819167927073,1.97377307896905e-18,8.37568310975542e-16
"Bmp8b",5.84199256065863,2.04112281905683e-18,8.46462910893864e-16
"Spink1",6.26451650813473,2.13872684519413e-18,8.67229972094608e-16
"Fosl2",2.65401685804211,2.33971424608969e-18,9.28103605399968e-16
"Mmp24",7.9815304067082,3.06829269289289e-18,1.16818178112566e-15
"Col4a1",3.1792063611426,3.07298325719471e-18,1.16818178112566e-15
"Elf3",6.19790154244464,3.31793578980614e-18,1.23555866033862e-15
"Cidec",5.56966909654562,4.73257818383805e-18,1.72710708240986e-15
"Myo16",7.79528192137458,6.45929988980389e-18,2.31103617822062e-15
"Rhoc",3.35120837503847,7.54116537763933e-18,2.60359101043844e-15
"Cbr3",5.43853850992931,7.67228880526088e-18,2.60359101043844e-15
"Mmp12",7.00853919691187,7.70504272284077e-18,2.60359101043844e-15
"Mt1",5.29106069153288,8.74612373620188e-18,2.90164581480865e-15
"Plcl1",4.21808286546803,9.35190732670122e-18,3.04721880339852e-15
"Syt3",-5.96896951087823,1.08447855453266e-17,3.47166319027324e-15
"Fgf21",5.22393863477558,2.61907666279563e-17,8.23970549414343e-15
"Snhg5",3.38483172153768,2.82416535934899e-17,8.73432971390527e-15
"Gm39642",6.78955361169906,3.08034238121513e-17,9.36783457167209e-15
"Treh",5.80756763043397,5.46672041568516e-17,1.63526635122962e-14
"Zfp759",-3.51594343565521,6.00714785942231e-17,1.76794237082063e-14
"Cgref1",6.64042201016496,6.55320440638077e-17,1.89803683814651e-14
"Anxa2",4.30580425036447,8.63331163155585e-17,2.46143808345312e-14
"Btg2",4.45257325873457,1.53621506245411e-16,4.31251019147695e-14
"Rad51d",-2.9735919593055,1.66121514413651e-16,4.59275647500893e-14
"Gm30692",5.39544317598456,2.09471380523923e-16,5.67544856503115e-14
"Adrb2",4.246192541499,2.11503536155049e-16,5.67544856503115e-14
"Gpx3",3.68995440352879,2.42613712904771e-16,6.41590205706283e-14
"Phlda3",4.61662195756829,3.10468049004861e-16,8.09301498598814e-14
"Sema3c",5.34402485758271,3.7518903557982e-16,9.64235821440136e-14
"Tmlhe",-2.89719547456753,4.52179672834416e-16,1.14596145697355e-13
"Chic1",-3.81791336478883,5.35152949031932e-16,1.33766244671037e-13
"Spire2",5.34941657567838,5.61441080146938e-16,1.38440748505962e-13
"Plaur",5.31264771758931,6.53871223862736e-16,1.59082509624311e-13
"Mmp19",-2.87214798132394,7.51800498163126e-16,1.80501364341876e-13
"5730455P16Rik",-2.4387606616105,8.33172736195115e-16,1.97440297627951e-13
"Sprr1a",6.51755261056908,9.287073227834e-16,2.14573250961208e-13
"Tubb5",3.02627828134633,9.28990345039484e-16,2.14573250961208e-13
"Hdc",2.33535116664888,1.01813550152722e-15,2.32223981204591e-13
"Rgs4",3.31611397221937,1.0642279990459e-15,2.3753948822969e-13
"Apoa4",4.37775270366316,1.06747618977556e-15,2.3753948822969e-13
"Fam83a",7.5307414734616,1.2237609973351e-15,2.69035746004501e-13
"Atf3",3.84662798997667,1.25763471341655e-15,2.73191197806093e-13
"Kdelr3",6.30038673210063,1.36277442393984e-15,2.9254758721918e-13
"Impdh1",2.70439013265714,1.54177367522324e-15,3.27124933160448e-13
"Mycn",3.87132466565306,1.77020708735904e-15,3.71275502563684e-13
"Slc10a6",6.32147463655985,2.1002281032055e-15,4.3548707044535e-13
"Guf1",-2.48697320424745,2.1322300569377e-15,4.37155076954406e-13
"Slc10a5",-3.31479365205279,2.2501792066809e-15,4.5621133315896e-13
"Mapk13",4.64109877954151,2.31049602215469e-15,4.63292537541282e-13
"Psat1",4.28118618467536,2.504683282534e-15,4.96771259308672e-13
"Tmsb10",3.51669464478445,3.09966929385819e-15,6.08168447365918e-13
"Tbc1d32",-3.81300150796328,3.22128942482137e-15,6.25307107816122e-13
"Apold1",4.23156080659318,3.75883836288462e-15,7.18712246234691e-13
"Cryzl2",-2.62014492029661,3.78124489716284e-15,7.18712246234691e-13
"Lin7a",-3.01904072993636,4.26621888399459e-15,8.02532948208755e-13
"Nudt18",2.66367476509333,4.54474541740451e-15,8.46203771748776e-13
"Adamts4",5.74828237042299,4.7629405178222e-15,8.77872481097998e-13
"Ces3b",-4.00397279332962,4.89502872293174e-15,8.93195891073355e-13
"Klf6",3.48075436237098,5.14777672719185e-15,9.30014672683859e-13
