"Gene.Symbol","log2FoldChange","pvalue","padj"
"Oat",-2.86485744042901,7.21657876039004e-91,7.65895503840195e-87
"Paqr9",-3.38593890513229,1.19828470461785e-69,6.35869778505461e-66
"Serpine2",2.96673501320506,1.62220922571069e-36,5.73883550415585e-33
"Serpina6",-2.16618748467545,5.46797864696789e-35,1.45079143450676e-31
"Rnase4",-2.02533116429834,1.2529627924014e-34,2.6595388231512e-31
"Apon",-1.70303585601357,9.91260220851927e-32,1.75337412065025e-28
"Nxpe2",1.8169733882318,7.08874406609815e-29,1.07475486819285e-25
"Ang",-1.76100023845104,4.81644678821215e-28,6.38961872041194e-25
"Cldn2",-1.62001196179034,8.12393929984216e-26,8.77167843798549e-23
"Mup20",1.92117620663095,8.26503197774945e-26,8.77167843798549e-23
"Akr1c6",-1.07172075626784,2.0356721683845e-23,1.8707195169118e-20
"Pctp",-1.96787873978298,2.11520156439664e-23,1.8707195169118e-20
"Gjb2",-1.24900151212299,2.77580159562081e-22,2.26612171802489e-19
"Camk1d",-2.28518882132574,3.00382781198754e-22,2.27711604061598e-19
"Cth",-1.4699951465436,5.11671173324546e-22,3.62024410832894e-19
"Elovl5",-1.90987680818583,1.66228857790272e-21,1.1026167923301e-18
"Gnmt",-1.25754543278593,3.47195573615496e-21,2.1675215428125e-18
"Slc25a47",-1.68052565719831,1.05538539319491e-20,6.22266954332085e-18
"Slc10a1",-1.09431107319981,4.42190173080721e-20,2.46998121416089e-17
"Cyp2c55",2.01347058020897,1.19470851596051e-19,6.33972073994444e-17
"Cyp4f14",-1.72268844886926,1.38489659868282e-19,6.99900361991467e-17
"Mup3",-1.07684253723661,1.54669605263673e-19,7.46140236665167e-17
"Nqo2",-1.1555938619273,1.32609823921846e-18,6.11907852731545e-16
"Cml2",-0.996842126765146,4.78060971944614e-18,2.11402545635341e-15
"Hgfac",-2.19555945312199,1.17525560110728e-17,4.98919507782062e-15
"Slc23a1",1.36080466455439,2.6246295520298e-17,1.07135359368047e-14
"Got1",-1.18657441272756,3.61216866739317e-17,1.41984985433495e-14
"Hamp2",-5.65703090946208,4.19800112511294e-17,1.59119235502941e-14
"Rbp1",2.62087060263397,8.04357037883763e-17,2.94366939415875e-14
"Qdpr",-1.28770724173756,9.03224282445642e-17,3.19530643653187e-14
"Abcg8",-1.55920428631526,1.31375592855873e-16,4.49770699025607e-14
"Mgst1",-0.833215900114086,2.94915518555564e-16,9.78105749509437e-14
"Apol7a",-1.52013903223322,6.69727060957909e-16,2.15388281755948e-13
"Cyp2f2",0.853259857345522,2.0097673150965e-15,6.27342956327035e-13
"Papss2",-0.962909550412503,4.5605917406389e-15,1.38290171838288e-12
"Car3",-1.36274625538277,8.12968142897111e-15,2.39667525015751e-12
"Angptl3",-1.13861113183033,3.17510514872607e-14,9.10740295768373e-12
"Abcg5",-1.81502688649036,3.28252642814333e-14,9.16775078470663e-12
"Hspb8",-1.36917352605615,4.93111423708127e-14,1.34189526661906e-11
"Uox",-0.851643434861379,5.60767062069135e-14,1.48785520743493e-11
"Fn1",-0.912213688529429,6.00196015951727e-14,1.55362934568187e-11
"1810008I18Rik",-1.83215575862755,8.29520973639844e-14,2.0961204983904e-11
"Oaf",-1.52948287016513,1.21965068998153e-13,3.01026808669162e-11
"Pipox",-0.910110596631165,1.60225525946949e-13,3.86471251562492e-11
"Rtn4",-1.44570165254746,2.47592783441363e-13,5.8393382459182e-11
"Ttc39b",-1.11409313055187,2.99379995285708e-13,6.90721715210266e-11
"C3",-1.03742941061036,1.49149371278763e-12,3.36791973910961e-10
"Fads1",-1.05960284048884,1.61559883314778e-12,3.57215633670779e-10
"Apoc1",-0.878265846466886,2.02239356297264e-12,4.38033936404666e-10
"Marveld2",-2.84098679306133,2.18383486311091e-12,4.63540788043923e-10
"Slc16a10",-1.10547971105686,2.64338678810616e-12,5.50083607493542e-10
"Chic1",2.02511035362911,4.88965094184147e-12,9.97958950880068e-10
"Tff3",5.44148336989841,5.76029102344768e-12,1.15347110626132e-09
"Apoa2",-0.895112228432792,8.19444928837069e-12,1.61018047548431e-09
"Scara5",1.78957040628325,8.34447622271150e-12,1.61018047548431e-09
"Cyp3a25",-1.13073858440439,9.27085245947448e-12,1.75699209200719e-09
"Gm10768",-0.825855790792339,1.55273756250359e-11,2.89108837734221e-09
"C9",0.990626586911303,1.67183213245234e-11,3.05916455546838e-09
"Ctsc",-1.69791367191723,1.90225082400666e-11,3.42179457545469e-09
"Serpina12",2.73593703427156,3.21508986418939e-11,5.68695812144033e-09
"Cd1d1",-1.09582933828035,4.90919720322168e-11,8.54119834717897e-09
"Gm10319",-2.29496754743574,9.96318843198962e-11,1.70547288433397e-08
"Ntrk2",4.32042696879729,1.48438541479727e-10,2.50060038210214e-08
"Mup9",1.92582930147916,1.54362333878447e-10,2.55976163976869e-08
"Fmn2",1.89527825058548,2.35747730063501e-10,3.84921639871374e-08
"H2-Q10",-0.805764852026321,2.63813740735626e-10,4.23232282846494e-08
"Sult1a1",0.77656300514799,2.67187062571517e-10,4.23232282846494e-08
"Sardh",-0.986862159598991,3.30899304355669e-10,5.1644622310687e-08
