"Gene.Symbol","log2FoldChange","pvalue","padj"
"Slc1a2",-5.5355998929983,1.499729270449e-17,2.62842551938891e-13
"Mmp12",4.74074778686725,6.29247295292124e-17,5.51409404864488e-13
"Oat",-2.72656989062773,1.63888973289396e-16,9.57439381956651e-13
"Gm38455",-3.4420732623804,3.36826314294993e-16,1.47580449608351e-12
"Slc22a3",-3.13443931646553,7.80799453795407e-15,2.73685824544366e-11
"Pcsk4",-2.01187999992118,3.27480542155803e-13,9.565706636371e-10
"Ctse",-3.8929957007355,1.00390191828683e-12,2.51348357427072e-09
"Pptc7",-0.808316649650438,1.39074227038845e-12,3.04676862885349e-09
"Sema6d",0.900157627582637,2.60776239023757e-12,5.07818262792264e-09
"Gm35742",2.39270700860511,4.2484381920635e-12,7.44581277541048e-09
"Sult2a1",-6.49807178159341,3.32773925415367e-11,5.30199619711793e-08
"Gm36749",-1.71772706659818,4.45050508418512e-11,6.49996267545237e-08
"Lcn2",4.3221311939656,1.63310850980954e-10,2.08676696134276e-07
"Selenoo",-0.748914046037096,1.6669369769941e-10,2.08676696134276e-07
"G6pdx",1.55130083813707,2.61665094582867e-10,3.00153441737866e-07
"Spp2",-0.598341201931852,2.74018890095051e-10,3.00153441737866e-07
"Decr2",-1.08755138020951,3.54976065593054e-10,3.65959442681404e-07
"Glul",-3.10776919151637,6.50601748553517e-10,6.33469235841607e-07
"Mup-ps16",-4.78138843409865,8.22465725215473e-10,7.58659700006651e-07
"Traf3",0.742777944893142,1.0668868257952e-09,9.31436485749873e-07
"Gsta1",3.19573022355547,1.11606562825216e-09,9.31436485749873e-07
"Pgd",1.11199243907018,1.26165229738377e-09,9.99325258437482e-07
"Gpcpd1",-2.09287517246969,1.35823348024062e-09,9.99325258437482e-07
"Orm2",2.84104933621808,1.36847005605954e-09,9.99325258437482e-07
"Tspan7",0.877102155591773,1.54777268863389e-09,1.0850505656399e-06
"Plpp1",0.789275304048738,1.97653733765636e-09,1.33233820691405e-06
"Lhpp",-1.99196240413227,2.10049550669789e-09,1.34640738512083e-06
"Tnfrsf11b",1.46927477359502,2.15105596162177e-09,1.34640738512083e-06
"Abr",1.27052182989744,3.85254708344896e-09,2.266896509313e-06
"Phyh",-0.797885696261543,3.88034322032351e-09,2.266896509313e-06
"Hectd3",-0.722996248938906,4.12359722686774e-09,2.30370892692066e-06
"Ces4a",-2.39973428941608,4.20624704219223e-09,2.30370892692066e-06
"Orm3",2.58653608027505,4.7103626260192e-09,2.50163076920038e-06
"Mafb",-1.62919813657011,4.94434182119214e-09,2.54866278700628e-06
"Armcx4",1.95708852574286,5.24049723763145e-09,2.62414155962082e-06
"D630024D03Rik",-2.0080592915077,6.27752949662619e-09,3.05611060994085e-06
"Cbr3",2.58958648773834,8.12950243357977e-09,3.85074755813295e-06
"Cd93",1.75367893320745,1.16338830722886e-08,5.3656693348666e-06
"Cyth1",-0.62532362168415,1.30263094314127e-08,5.85382305371639e-06
"Gpnmb",4.78233729895474,1.62097115851284e-08,7.10228513102401e-06
"Smim4",-0.7027389466781,1.88661950680879e-08,7.89306758391235e-06
