"Gene.Symbol","log2FoldChange","pvalue","padj"
"Ntrk2",4.94452580286618,1.10096254569982e-56,1.91875752464564e-52
"Gpnmb",7.73694556143549,1.06038260115299e-33,9.24017398644713e-30
"Casp12",2.60299366713663,4.22267271112353e-22,2.45309133364869e-18
"Chic1",-1.72695056579666,4.28756799447344e-21,1.82386133424921e-17
"Trem2",4.54509364466784,5.23256063303077e-21,1.82386133424921e-17
"Gsn",1.19053214204831,2.68773834023913e-20,7.80698396561458e-17
"Mmp12",7.4883307713368,1.26716502096965e-19,2.89705534243964e-16
"Cd34",2.12206907880762,1.52972794815614e-19,2.89705534243964e-16
"Svep1",2.80788657742472,1.6497753228891e-19,2.89705534243964e-16
"Emp1",3.47176323839356,1.6622993702316e-19,2.89705534243964e-16
"Dpt",2.04923937726596,2.17443789317654e-19,3.44510032748007e-16
"Col6a2",1.5459671834483,5.11288603283826e-18,7.42561481502544e-15
"Lrtm2",5.16039152354202,6.42982601234099e-18,8.61992367254452e-15
"Plxdc2",2.12602880534165,1.00755038065628e-17,1.2542562881484e-14
"Thbs2",1.8196659112514,3.27305060386715e-17,3.80284839494645e-14
"Dpy19l3",-1.35386722541532,1.4112455322405e-16,1.53719919599297e-13
"Gpx3",2.06767080718806,2.48472612669657e-16,2.44240546820215e-13
"Mrc2",2.32261543251185,2.52256704312823e-16,2.44240546820215e-13
"Pdgfra",1.35853642923494,4.62600653821196e-16,4.243265365682e-13
"Cyp1b1",2.16124705426057,9.19900151690204e-16,8.01600992182844e-13
"Osmr",1.52157120192946,1.15435493311263e-15,9.58004655918426e-13
"Tbx20",1.36368439257884,1.43332390303097e-15,1.13545313554653e-12
"Casp4",2.00391023748612,1.644194555124e-15,1.24587055246526e-12
"Col6a3",2.36775002693787,1.80915870510966e-15,1.31375074636047e-12
"Sybu",2.59456559321398,3.07301201394475e-15,2.14225813516117e-12
"Cyp2c53-ps",-2.53891935432649,4.05838536958345e-15,2.72036693158078e-12
"Col6a5",3.38917986158776,5.03110004203011e-15,3.24748190861114e-12
"Dhrs9",1.10338351416777,6.10902389772836e-15,3.80243101748607e-12
"Hhip",-1.4318830950173,1.26400055606153e-14,7.59620747966911e-12
"Steap2",1.33994638739624,1.83408181423988e-14,1.06547926195242e-11
"Amz1",2.00714654937868,2.55755614305191e-14,1.43784156326157e-11
"Fam180a",2.37183198801331,2.85865721238556e-14,1.55689618429548e-11
"Ms4a7",2.99187486401767,2.9806886708278e-14,1.57416491379354e-11
"Scn7a",2.46433898255304,3.86118348072201e-14,1.97919722653009e-11
"Scube1",3.96113664123283,4.54604485048851e-14,2.26367056155182e-11
"Pdgfrb",1.35002634063409,6.03388100818256e-14,2.90294994687003e-11
"Syt14",6.35537991294983,6.16302203547114e-14,2.90294994687003e-11
"H2-M2",2.82956777997817,6.51298542776587e-14,2.98706079039746e-11
"Bicc1",2.45179237133949,1.40911032954786e-13,6.29691662137438e-11
"Adamtsl2",1.85502724568901,1.78068141164087e-13,7.64529752311826e-11
"Aqp4",-2.64089386173522,1.79858387909025e-13,7.64529752311826e-11
"Tspan8",3.6791853929991,1.89358505422742e-13,7.85747626787513e-11
"Lum",2.3509751650285,2.07775552980834e-13,8.36311815793659e-11
"C7",1.59415321298182,2.11141381081713e-13,8.36311815793659e-11
