"Gene.Symbol","log2FoldChange","pvalue","padj"
"Cyp2b10",5.13784433460404,1.30782089797139e-41,1.84180417061311e-37
"Vnn1",1.39036185442895,3.8792812290245e-27,2.7315958774176e-23
"Acmsd",-1.25877175599763,2.98049855154345e-26,1.39914537004621e-22
"Cps1",-0.692943766199406,6.00219381152163e-25,2.11322238619148e-21
"Cyp2c53-ps",3.44906702117053,3.23569398406255e-23,8.4252051489831e-20
"Cyp2b9",5.28239407655157,3.58952147226433e-23,8.4252051489831e-20
"Cyp2c29",1.76732332709848,8.39239497337111e-20,1.6884299772855e-16
"Slc22a27",1.98487425226027,2.22987703744493e-19,3.92541978979211e-16
"Lect1",1.37617292451119,1.14972070135375e-18,1.79905740412942e-15
"Asl",-0.616787810898654,2.04634276989188e-17,2.88186452283873e-14
"Cyp2c40",-4.41498632450157,3.0775966300604e-15,3.94016303101278e-12
"Dmgdh",-0.524956872558826,5.62818603927604e-15,6.60514533259371e-12
"Gm4956",-1.42476423474452,9.36397203141731e-15,1.01440629321885e-11
"Slc22a26",2.64739355186963,1.46349832933104e-14,1.47217478371207e-11
"Fgf21",2.5783147510207,9.96309388284868e-13,9.35401674347720e-10
"Slc23a2",0.570688925768586,2.28559012320673e-12,1.93377824341659e-09
"Gls2",-0.626238470063937,2.33432011205582e-12,1.93377824341659e-09
"Mup9",2.73217574630374,2.59490464675715e-12,2.03022456334894e-09
"Gnmt",-0.494919485257555,2.72484907421038e-11,2.01968681642657e-08
"Cyp2c69",-3.63057828566514,3.48376170420608e-11,2.45309080401671e-08
"Dio1",0.871355714674343,6.07803800450418e-11,4.07604805797297e-08
"Tmem25",-0.500979548844437,1.1412201502742e-10,7.30536517105073e-08
"Peg3",0.840327784691053,3.085014596758e-10,1.88896785070187e-07
"Cyp2c50",0.87698893452421,4.06632302136394e-10,2.3039531291808e-07
"Slc22a1",0.334994911431637,4.08995442941987e-10,2.3039531291808e-07
"Ehhadh",-0.573367378219176,4.28204634981619e-10,2.31938687478698e-07
"Alpl",-0.668059599185028,4.66511969324285e-10,2.4332918755533e-07
"Rad51b",1.77511093773861,5.73140921799216e-10,2.8826941434637e-07
"Sybu",1.76698414681327,6.77378667276796e-10,3.28949095560659e-07
"Sulf2",-1.04344558856272,8.74378648563527e-10,4.10462483590672e-07
"Dbt",-0.306303341287994,9.44135632633316e-10,4.28911681108871e-07
"Slc10a2",1.34091186009848,1.0461424304829e-09,4.60400745265333e-07
"Adgrg2",1.35880710953921,1.12944208829574e-09,4.81997967559666e-07
"Mup15",1.22722794273632,1.3397958520889e-09,5.54951323087294e-07
"Slc13a2",-1.9346853113734,1.7610904177406e-09,7.08612467229739e-07
"Cyp7b1",-0.943107862431917,2.58947717692897e-09,1.0129890856303e-06
"Ttc39c",-0.547247779901161,3.93426628917173e-09,1.49746681487582e-06
"Adamts1",0.37800460490683,5.74795153334439e-09,2.13022109063392e-06
"Cyp2f2",-0.634515953009645,7.04222831941870e-09,2.54296670313778e-06
"4931406C07Rik",0.600050812090397,9.49013662406313e-09,3.34123985191703e-06
"Dmxl2",-0.353363468479839,1.25442325203093e-08,4.30879089228086e-06
"Htra4",-2.35963712848984,1.34624789801541e-08,4.51409741613118e-06
"Slc16a12",0.335112697276686,1.69297508815956e-08,5.54469027129096e-06
"Cyp2c55",2.47012448422043,1.76002833189323e-08,5.63329068137555e-06
"Defb1",1.58424078654771,1.81998303366299e-08,5.69573801401686e-06
"Itih5",-0.816781104000845,1.91009802954161e-08,5.84780664131186e-06
"Cyp2c54",1.13659159276478,2.28401920835575e-08,6.77491567653719e-06
"Hsd3b3",-0.35726339712618,2.30913834036629e-08,6.77491567653719e-06
"Letmd1",-0.376963024132085,2.6097601291045e-08,7.35614142597432e-06
"Serpinb8",0.790591359304718,2.62339322731678e-08,7.35614142597432e-06
"Pah",-0.416787076302719,2.6639438523375e-08,7.35614142597432e-06
"Cyp2c68",-0.824073248359681,2.84291523970818e-08,7.69937986938659e-06
"Mup20",0.801934647381956,3.07238924578425e-08,8.16385995252446e-06
"Endod1",0.661619233150212,3.40115032413406e-08,8.8700740768111e-06
