"Gene.Symbol","log2FoldChange","pvalue","padj"
"Scd1",1.92057513360292,2.86636670232252e-42,4.66157216798712e-38
"Apoa1",-0.33166824190838,3.74069051095291e-32,3.04174248898136e-28
"Jun",-1.15956480482422,9.8162858868878e-31,4.05497770024002e-27
"Proser2",-0.712515058448972,9.97350476600879e-31,4.05497770024002e-27
"H1f4",0.573313947208403,7.71846531058619e-30,2.51050802692127e-26
"Apoc4",-0.313399234814724,5.02644673971537e-29,1.36241838879985e-25
"Dlst",-0.327692704767022,4.76343872117017e-25,1.10668291317701e-21
"Fst",3.21900724842174,5.8425857905444e-24,1.06292110940606e-20
"Tmem106b",0.304390571998097,5.88224188935283e-24,1.06292110940606e-20
"Mat1a",-0.46837275280009,8.56818736228418e-24,1.39344431072828e-20
"Ddx58",0.649847229275832,2.82041952520804e-23,4.16986206713258e-20
"Fgf21",-1.51613200734523,9.92927184656488e-23,1.34566456700571e-19
"Epha2",-1.24283169770332,1.41527703936408e-22,1.77051157624447e-19
"Slfn9",1.12808337467383,4.30081518597026e-22,4.99601124067388e-19
"Bhmt",-0.782101032349816,2.19774923679979e-21,2.38279972253833e-18
"Ubc",-0.869543794077394,4.28518508162264e-21,4.22644368529113e-18
"Zfp945",0.605184967515435,4.41797593617102e-21,4.22644368529113e-18
"Pde4b",1.39436284756646,6.68113903464814e-21,6.0364091178046e-18
"Oasl1",1.14891964459294,8.0623589316535e-21,6.90095491081478e-18
"Hsd17b10",-0.563274739535041,1.33664024205736e-20,1.08688901282894e-17
"Banp",-1.02877744082128,3.47429061044844e-20,2.69058991417728e-17
"Ccdc117",-0.710174919006816,5.19092032523917e-20,3.83726987497112e-17
"Abca8a",0.740734496820495,3.95214017428329e-19,2.79450676758127e-16
"Cyp2d9",-0.30617442793835,4.23305432251565e-19,2.86842343529467e-16
"Adamts6",1.33703749201682,1.16843746656722e-18,7.60091940751308e-16
"Znfx1",0.524581905212223,2.9610428712304e-18,1.85213231595461e-15
"Parp14",0.671424856930676,4.06205840691238e-18,2.44671318043022e-15
"Srsf5",0.280729032996456,4.29534524183349e-18,2.49482855956921e-15
"Acox1",-0.435437282682016,4.51017115475666e-18,2.52927287895888e-15
"Apol9a",0.785178635970038,6.75501201360225e-18,3.66189201257378e-15
"Rtp4",0.972270018206735,9.3181231969052e-18,4.88840766294417e-15
"Bhmt2",-0.339533764917728,1.13919544157416e-17,5.7896048332252e-15
"Usp18",1.25015011160792,1.18736124941624e-17,5.85153212098678e-15
"Mir22hg",0.424284121470722,1.54401760012015e-17,7.38539947963355e-15
"Igtp",0.956517862024189,1.65286936897908e-17,7.68017558505908e-15
"Uspl1",-0.558573168358639,2.35067246843486e-17,1.06191628761545e-14
"Rnf213",0.661864561391871,3.36572966015271e-17,1.47937463413685e-14
"Hilpda",-1.10826136592627,7.41199514911053e-17,3.17213887131538e-14
"Gm10382",-0.986513106167925,1.19989762232934e-16,5.00357308511335e-14
"Gm34777",-0.867001802845785,2.52147671055792e-16,1.02516939359509e-13
"Sec16b",-0.371679299006897,3.66225696589615e-16,1.45266548869193e-13
"Xaf1",0.962784383540216,3.91802461108056e-16,1.51711510119055e-13
"Atp5g3",-0.249456080177902,4.74439603419739e-16,1.79437471405005e-13
"Cmpk2",0.993485829016667,5.07594795433755e-16,1.87613958139526e-13
"Dmgdh",-0.358758429488321,8.07653202651974e-16,2.91885867438423e-13
"Cbx4",0.560606890351925,8.3545538456014e-16,2.95369802589164e-13
"Etfb",-0.239068388354141,8.78021020314708e-16,3.03813954327194e-13
"Fzd8",0.841291203961264,9.09429695462421e-16,3.08126148693861e-13
"Zc3hav1",0.432246735735604,1.04254257984162e-15,3.46017754611515e-13
"LOC115489130",-0.566157873123539,1.88837037645685e-15,6.14211348646356e-13
"Nr3c1",0.31305984876798,1.97658647947167e-15,6.30298547365642e-13
"Slc25a47",-0.386021890776247,4.3626512431819e-15,1.36441917630514e-12
"Iqcn",-0.9674697610782,5.15363938151343e-15,1.58138938229345e-12
"Tra2b",-0.472884426935688,5.35726682353895e-15,1.61343019168915e-12
"Samd9l",0.842932515957496,6.07196955814339e-15,1.79542619861974e-12
"Nt5e",-0.71771888593291,6.6087129571331e-15,1.91924105039028e-12
"Cyp4a32",-0.492588853710406,8.92718787368908e-15,2.5470676559615e-12
"Ifit3",1.1359668520047,1.03044274505257e-14,2.88932592461894e-12
"Bmf",1.37390349857982,1.25420896923379e-14,3.45715262146596e-12
"Ikbkg",-0.403921003064728,1.40719918626196e-14,3.81421339436305e-12
"Irgm1",0.639992829779662,2.30438772799504e-14,6.14364879022676e-12
"Kcnq1ot1",-0.330156499309182,2.75469791661678e-14,7.22575035773204e-12
"Miga2",-0.408573427440741,2.93352063584946e-14,7.57267398425711e-12
