"Gene.Symbol","log2FoldChange","pvalue","padj"
"Sdr9c7",-4.44960055590493,3.14206336530104e-50,5.1979154252175e-46
"Lpl",4.70023818049722,1.1618363921657e-48,9.61012971779861e-45
"Scd2",5.55711762076447,1.25131717751448e-47,6.90018002254069e-44
"Ces2g",-2.97102021188936,8.42545725036171e-37,3.48455848231835e-33
"Pde9a",-6.14904821265211,2.93766970512073e-33,9.71957398636245e-30
"Rassf4",4.37995167869857,4.57277544522628e-28,1.26079040317297e-24
"Tgfbr2",2.18406424511018,7.92905534329667e-27,1.87386232205938e-23
"H19",5.61748709518907,1.24727728197299e-23,2.57921350945991e-20
"Mpeg1",2.48791881847918,4.78033456641775e-19,8.78678608136097e-16
"Tbx3",-2.07805555064297,7.92303872959963e-19,1.31070829703767e-15
"Tlr5",-3.49016978748584,9.60495462936856e-19,1.44449785848767e-15
"Mup20",2.90542623128373,1.74513235687799e-18,2.40581038165272e-15
"Enho",-3.07668519501607,1.24273492932804e-17,1.58142799506721e-14
"Abcc3",-2.85983611967017,1.86851314320613e-17,2.20791520914707e-14
"Gstm3",2.21982953088969,2.04316315412617e-16,2.21443637414966e-13
"Fat1",-1.72776177946365,2.14175070944778e-16,2.21443637414966e-13
"Rnf39",-5.795328924734,4.91434884501848e-16,4.78223958489063e-13
"Wif1",9.06401023014176,6.14860576312547e-16,5.65091028552137e-13
"Cdhr2",3.92125780716879,8.15228166463648e-16,6.82669807525974e-13
"Slco2a1",-2.70931668166899,8.25327700569394e-16,6.82669807525974e-13
"Aldh1b1",1.71693967229531,1.10580985488751e-15,8.71114877590667e-13
"Slc4a9",3.08713242280938,3.67992683213814e-15,2.76713770836642e-12
"Gsta2",2.43907559092766,6.93755335450744e-15,4.8612867022645e-12
"Bgn",2.38755842753797,7.05258301724887e-15,4.8612867022645e-12
"Sfrp1",4.47643766864248,7.80755698800783e-15,5.16641661010454e-12
"Cd5l",3.44111653387475,9.38364009019249e-15,5.8195905382289e-12
"Mmd2",-3.5178259501007,9.49821341547363e-15,5.8195905382289e-12
"Col14a1",2.58388609873323,1.8283131603116e-14,1.08020659325124e-11
"Alpl",1.69761251261224,2.06607605218174e-14,1.17858952176699e-11
"Oat",-2.25558260815162,2.49198845670637e-14,1.37416550130978e-11
"Pkdcc",-1.75694439979075,8.06208396649955e-14,4.30229209863878e-11
"Sdc3",2.91925665897154,1.90946207594551e-13,9.87132222573956e-11
"Kyat1",1.18238011046925,3.76892874235656e-13,1.88937539953953e-10
"Axl",3.45881837714771,6.32436790451646e-13,3.0771770071887e-10
"Fgfr3",-1.51804371083576,7.958717592408e-13,3.76174471803444e-10
"Srd5a1",1.66477224494881,1.17134933039739e-12,5.38267554799001e-10
"Lhpp",-2.77461081834169,3.03060346440525e-12,1.35500738139611e-09
"Tifa",-3.5325232151841,3.91890524732942e-12,1.70606446069922e-09
"Pde4b",-1.4790687603485,4.92377682334693e-12,2.08856512791354e-09
"Slc10a2",-1.88563870190514,5.14373595097726e-12,2.12732059592542e-09
"Tnfaip8l1",-2.58734135885677,5.4940368183954e-12,2.21677685577354e-09
"Dock10",3.62368419839897,6.31562851807799e-12,2.48760577558486e-09
"Ctse",7.61480329992445,6.58132573842333e-12,2.5319737602497e-09
"Trim2",-2.61646799772861,7.00799315737065e-12,2.62037836622904e-09
"Csf1r",2.92175142829613,7.12791068610933e-12,2.62037836622904e-09
"Gbp2",2.24677972488057,8.17219078879221e-12,2.93896852649977e-09
"Rdh5",1.32674991666722,9.35352553798115e-12,3.29224197818771e-09
"Card10",-1.78735756019522,9.82609229161832e-12,3.38652176625504e-09
"Steap2",-1.97042415004599,1.03032414087239e-11,3.47850046172489e-09
"H2-Aa",3.20913182818145,1.22873441336357e-11,4.00953663875284e-09
"Ncam2",3.36609018111933,1.23608999925283e-11,4.00953663875284e-09
"Rad51b",-1.99281857922466,1.42873516504451e-11,4.54530112217911e-09
"Orm3",-2.98877580014688,1.72830126764101e-11,5.39458261709154e-09
"Inhbc",-2.15016132251356,1.86692831232639e-11,5.71936945755843e-09
"Fcna",3.17378554621168,2.25932957802253e-11,6.78202135071162e-09
"Itga4",1.81610382468314,2.29579396505985e-11,6.78202135071162e-09
"Clec4f",2.88632592616544,2.43694219503379e-11,7.07269030393753e-09
"Tmsb4x",3.04070153848089,2.7513441487454e-11,7.84749762977502e-09
"Col3a1",4.1526215002136,2.8118152433455e-11,7.8840439950279e-09
"Lyz2",3.12468988744705,3.55856876323485e-11,9.76843186482909e-09
"Dnase1l3",2.06327170197841,3.60197269996116e-11,9.76843186482909e-09
"Rdh16f2",-1.40676126590879,3.83781855229623e-11,1.02401665017156e-08
"Lmod3",4.835590754899,5.04484422492891e-11,1.3239338690649e-08
"Cd74",2.96834949168647,5.12191063411433e-11,1.3239338690649e-08
"Mrc1",2.3003160538293,5.30202411627472e-11,1.34940592239281e-08
"Rarres2",1.16740326875034,5.75248001163674e-11,1.44186783079556e-08
"Adgre1",3.11555600995337,8.8015867764474e-11,2.17320373198163e-08
"Niban1",3.99167445402925,9.07859154609811e-11,2.20863441098678e-08
"C1qb",3.39140894694335,9.40475856654683e-11,2.2548249415418e-08
"Aldh3b3",-7.6022989422354,1.00832738215139e-10,2.3829656975615e-08
"Sema6d",2.56641778851302,1.08200242044103e-10,2.52106563962759e-08
"LOC118567481",-5.1320441550774,1.79148587277679e-10,4.116187610187e-08
"Carmil1",-2.31160845511559,1.85331122103914e-10,4.14562414366371e-08
"Vsig4",3.68931910320614,1.85441689313374e-10,4.14562414366371e-08
"Ltbp4",2.50806103731962,2.81321640973555e-10,6.20520520883402e-08
"Car14",-1.54268922378661,3.80715306152599e-10,8.287070144319e-08
"Klhl13",-2.5115680216537,4.36907599115644e-10,9.38670443138974e-08
"Gm30117",-3.80091085062017,4.47621175995909e-10,9.49358604423119e-08
"Car3",-1.81777313794548,4.59744921230409e-10,9.56578291936644e-08
"Lhx6",1.91488559305941,4.62589997914112e-10,9.56578291936644e-08
"Trim30a",2.56572257150594,5.09688005080948e-10,1.02838516537824e-07
"Gpc6",4.16721756674247,5.09747830266671e-10,1.02838516537824e-07
"Vcam1",3.86745769086608,5.55310529718131e-10,1.10680748109964e-07
"Slc8a1",3.8993603730364,6.06889205846115e-10,1.19521049194194e-07
"C1qa",3.08039260707424,6.14471212162225e-10,1.19590556032938e-07
"Cadm4",-2.770656197907,7.03835606226489e-10,1.35390144579126e-07
"Pde6c",3.77669763961311,7.92459028569311e-10,1.50685628846231e-07
"Irf7",1.72774541325528,8.53962710587086e-10,1.60535285468661e-07
"Gsta4",1.23665064179273,1.03845166842592e-09,1.93023662368203e-07
"Eef2k",-2.21397675472962,1.05081354888079e-09,1.93151205990388e-07
"Peg3",-2.46154823344282,1.09084754991966e-09,1.98306494706824e-07
"Laptm5",3.59047011612399,1.15471646223674e-09,2.073019317611e-07
"Fmo2",-1.48493770626018,1.17050049342034e-09,2.073019317611e-07
"P2ry1",-1.91587995822908,1.17792308441899e-09,2.073019317611e-07
"C1qc",2.92269649516422,1.34018694540462e-09,2.33375922503459e-07
"Soat1",4.228063116124,1.41251699766674e-09,2.43409048879176e-07
"Slc13a3",-2.8867178091789,1.46878404826177e-09,2.50495819694788e-07
"Dleu2",-1.77121285496735,1.55375969897873e-09,2.62002219121517e-07
"Fgfr2",1.24432933250657,1.56792720141632e-09,2.62002219121517e-07
"Sult5a1",-3.7744917491353,1.61922967842996e-09,2.67869165702668e-07
"Sparc",2.16210645926675,2.03048088116759e-09,3.32576685318371e-07
"Col4a2",2.59891645823706,2.07899431845022e-09,3.3718434323649e-07
"Cybb",3.1626944440715,2.25517705139612e-09,3.59482120442794e-07
"Oasl2",3.4261043462819,2.25993716532978e-09,3.59482120442794e-07
"Plekhb1",-1.44438142434482,2.91397929450511e-09,4.5910437589522e-07
"Acsl1",-1.20953867108063,2.99797918113739e-09,4.67882732014677e-07
"Kcna2",3.89318009349956,3.30465656707622e-09,5.10924612982635e-07
"Ank3",1.32770796173994,3.56551563056161e-09,5.46151158114636e-07
"Sult1e1",4.3215565804728,4.37707644341301e-09,6.60383924981727e-07
"Acss3",-1.63798608389578,4.39111598549175e-09,6.60383924981727e-07
"Cdh5",2.53637484576019,4.49733742865784e-09,6.70265343083663e-07
"Kdr",1.92059973062439,5.1568380652258e-09,7.61692608152057e-07
"Prom2",-2.44095330868717,5.49581655572091e-09,8.04577816648594e-07
"Cyp3a59",1.76567968136888,5.78846284395924e-09,8.39987200242261e-07
"Sowahb",-2.732201804356,6.18666093863523e-09,8.89964625285588e-07
"Plxnd1",1.95346267783273,6.67834881635175e-09,9.52413141973336e-07
"Colgalt2",3.54334599001697,6.94474080830763e-09,9.81938864887462e-07
"Sugct",2.1428297529653,7.28878237015954e-09,1.0218502266911e-06
"Gbp9",2.47202522733256,7.50501649418182e-09,1.04332342742227e-06
"Cxcl9",1.84719600559243,8.02088052546014e-09,1.10574522110573e-06
"Dtnb",-1.39159594887559,8.28080981001985e-09,1.13214410485255e-06
"Lipg",-1.65954250974665,8.92929791236971e-09,1.21079815872403e-06
"Rgl1",2.44031964297392,9.3596511460573e-09,1.25883503178232e-06
"Pdzrn3",-2.15041515326307,9.74310385030442e-09,1.29984005641602e-06
"Ctss",2.76958963852968,1.02320889539262e-08,1.35415558051841e-06
"Ets1",1.9430656705711,1.29891568118859e-08,1.70539381856371e-06
"Tff3",6.76253387298512,1.33741622994812e-08,1.74211627496313e-06
"Slfn5",2.73918081342687,1.43864666391254e-08,1.85933841883633e-06
"Olig1",3.705764317002,1.75429822670692e-08,2.24971748561338e-06
"Gbp3",1.71770797806066,1.80245953534445e-08,2.29369908409255e-06
"Endog",1.12461084899249,1.95621127015634e-08,2.47035137726689e-06
"Sult1c2",1.93951405251948,1.99198633011543e-08,2.4964719590227e-06
"Cyp3a11",-1.30690610352177,2.13714358330822e-08,2.65825310516299e-06
"Cd44",3.56417387859134,2.38811117322084e-08,2.94092953543533e-06
"Maml2",2.68093162803998,2.399960631589e-08,2.94092953543533e-06
"Ptprb",1.83776135127543,2.47092408611194e-08,3.00562479092278e-06
"Dntt",2.86457356902223,2.70215541375507e-08,3.2629019715146e-06
"Tjp3",-2.36280710022774,2.80083997103904e-08,3.35755765513759e-06
"Rgs5",2.36894413623089,3.11297031213703e-08,3.7048825808405e-06
"Orm2",4.23255765698164,3.38934098521581e-08,4.0049905656018e-06
"Hip1r",-1.13490175148066,3.54174738286179e-08,4.15539907480018e-06
