"Gene.Symbol","log2FoldChange","pvalue","padj"
"Col3a1",3.23645537760997,1.30517004052284e-112,2.39185461626216e-108
"Uap1l1",3.85285231907603,1.13877634579621e-93,1.04346076565307e-89
"Mmp12",8.92479553884889,1.44202965294728e-88,8.80887847330394e-85
"Lgals3",4.65871810341747,1.45644065614449e-77,6.67268286612596e-74
"Anxa2",3.73692605781729,3.01642215892505e-71,1.10557904968921e-67
"Col1a2",3.07624062614587,8.52421608693331e-70,2.60357973348566e-66
"Haus8",3.24691836180845,1.1419852868691e-66,2.98971748102331e-63
"Cyp27a1",-1.24122125549621,6.45765553605867e-65,1.47928744192264e-61
"Me1",-2.81114802142425,3.89392037924841e-63,7.9288872077896e-60
"Gpnmb",11.2106785850731,7.51956428550342e-61,1.37803535096136e-57
"Clec7a",4.46418703960171,2.7628610072299e-60,4.60292643804501e-57
"Ces2a",-3.07059940987786,5.38187280932943e-60,8.21901675864759e-57
"Itgax",5.08841610020808,1.13162625393715e-59,1.59524482535786e-56
"2010003K11Rik",3.07398170549418,5.00136326498941e-59,6.54678451387113e-56
"Atf3",4.90134580089222,7.7330763809263e-58,9.44775718379036e-55
"Anxa5",2.10210193620141,1.74824783788886e-53,2.00239936732196e-50
"Scd1",-6.20898486226808,1.54611640120674e-52,1.66671348050086e-49
"Tmem176a",1.32262636563959,3.35085224563474e-50,3.41153990297235e-47
"Arhgef2",3.49593647102632,2.61126879325059e-49,2.51863746869002e-46
"Mat2a",1.82166150307298,1.35318951097296e-47,1.23992754890452e-44
"Smpd3",4.23541191624341,4.35170296543923e-47,3.7975861211733e-44
"Cd63-ps",3.68144482164836,3.55464256417254e-46,2.96101725595573e-43
"Lcn2",7.09235319024459,1.14954647044023e-45,9.15938635534242e-43
"Mfsd4b1",-1.75264844918643,1.6115750565674e-45,1.23057185361059e-42
"Myo1f",3.36181140854473,5.48565049815563e-43,4.021201241168e-40
"Lpl",3.67343038531045,6.76834432880629e-43,4.77064146806554e-40
"Slc10a1",-1.68590042765535,1.4631644241615e-42,9.93109305080874e-40
"Capg",3.87019097729101,3.38376836403313e-42,2.21467639425968e-39
"Steap4",1.67928617430205,1.04608037263153e-41,6.61050652029152e-39
"Blnk",4.00454404489131,2.31715321771989e-41,1.41547166226449e-38
"Col6a3",2.77273181986372,3.33635720501285e-40,1.97232523029244e-37
"Mki67",2.81755137880753,6.62002322109998e-40,3.7912045484337e-37
"Ccdc80",1.96375660530009,1.95084940191868e-39,1.08337170119884e-36
"Plek",2.80826234162955,4.98901933099971e-39,2.68908141940884e-36
"Nfkb2",1.98791010769103,5.44506527670252e-39,2.85103617888144e-36
"Cx3cr1",4.61804772499017,6.08366814149124e-39,3.09692506558246e-36
"Ccr2",4.11894481323157,9.9246190175658e-39,4.9156369761057e-36
"Col4a1",1.70204580576481,1.16931123765819e-38,5.63915730034844e-36
"Gm9826",-1.46070006294775,4.20993662932144e-38,1.97823842740884e-35
"Ahcy",-1.39910401215487,7.74649467472049e-38,3.54905653522319e-35
"Sirpa",2.71759824995379,1.12125727808051e-37,5.00263762050005e-35
"Tlr2",3.06298060090313,1.14651740729566e-37,5.00263762050005e-35
"Cd63",3.63480719452866,4.09741313272082e-37,1.74626030395911e-34
"Mfge8",2.92655269500078,5.02089981756607e-37,2.09120477401627e-34
"Cd68",3.06174736450357,9.70377302248687e-37,3.95180765355765e-34
"Cd14",3.45879051994307,4.92052790069431e-36,1.96029552843747e-33
"Tnip1",1.84147082673981,5.3583512832564e-36,2.08930097057355e-33
"Ces1d",-2.48172077656381,1.02112620358198e-35,3.89857475142569e-33
"Pla2g7",3.37670324939078,2.77627813728635e-35,1.0383280233451e-32
"Lilr4b",3.87753264481495,2.90209822354155e-35,1.06367704089245e-32
"Afmid",-2.19958261958698,8.89656656018496e-35,3.19683291729313e-32
"Myof",3.37421357261077,3.03446268005265e-34,1.0694146745124e-31
"Cotl1",2.44793845719502,3.47984869703286e-34,1.20323975890234e-31
"Emp1",4.06497410619304,4.5944829155828e-34,1.55923136872167e-31
"Cxcl14",2.66221417068574,5.15778821125114e-34,1.71857503198888e-31
"Adam8",6.80372144405,1.59121063565031e-33,5.20723680516564e-31
"Serpinc1",-0.892759254693327,1.77541615123373e-33,5.70811866447534e-31
"Syt12",2.98130453188822,2.38798615631394e-33,7.54521281044988e-31
"Nudt18",1.70359461082765,3.09300523071999e-33,9.46219014490888e-31
"Cybb",2.32464851473379,3.09795595708029e-33,9.46219014490888e-31
"Col1a1",3.91487643061586,4.54986312219312e-33,1.36689822257887e-30
"C5ar1",4.0137209515891,1.55453314544648e-32,4.59489910055681e-30
"Tmem86a",2.14294679163102,2.25326379975819e-32,6.55449403085217e-30
"Cd300lb",4.10324225908459,4.05573661749766e-32,1.1613348320666e-29
"Arhgap11a",2.76960416264894,8.12860074387456e-32,2.29176518818839e-29
"Saa1",3.15541569373538,6.65596017078596e-31,1.84813827408824e-28
"Gm11223",2.42431706657453,1.01583020562327e-30,2.77852303705256e-28
"Col4a2",1.4491875275468,1.20954276450963e-30,3.25971775035344e-28
"Tmem43",1.71705620918358,2.12426996709571e-30,5.64193788652117e-28
"Serpina1d",-1.62077899261161,3.26107003686335e-30,8.53748135650825e-28
"H19",5.05178494869967,4.18109470383162e-30,1.07919354285096e-27
"A330041J22Rik",-3.29652875502867,5.24977365210919e-30,1.33621322150768e-27
"Tmem176b",1.19098423280322,5.48234854096203e-30,1.3762947857763e-27
"Mcm6",2.21540652095874,7.30554510424997e-30,1.80920837270926e-27
"Bcl2a1b",3.71911071858682,7.59381687134969e-30,1.85552383979139e-27
"Tgm2",1.15903097604558,9.76133035132381e-30,2.35376500024158e-27
"Pld3",1.52199987683727,1.48319694229327e-29,3.53000872265798e-27
"Actg1",1.74983181065758,1.98548135926478e-29,4.66486299870339e-27
"Synpo",1.72062673751332,2.79465394129136e-29,6.48288963646904e-27
"Nrg1",5.65516429813633,3.28056550555646e-29,7.51495543185346e-27
"Stap1",3.58073410498289,7.37529579675278e-29,1.66863791075668e-26
"Psap",1.31148082611032,1.41844035900731e-28,3.17004122184976e-26
"C3ar1",2.86371403369193,1.50703930773817e-28,3.3274701630855e-26
"Srxn1",1.88029934762293,1.71274247087843e-28,3.6980422772441e-26
"Cyba",2.57139783929777,1.72217908663141e-28,3.6980422772441e-26
"Arhgdia",1.10761270699937,1.73541217856047e-28,3.6980422772441e-26
"Ugt2a3",-1.42342605459454,2.0549121038526e-28,4.32854243852904e-26
"Ccdc120",4.10187444199342,2.38124525071434e-28,4.90920277786755e-26
"Cidec",3.55884179728452,2.38414846245886e-28,4.90920277786755e-26
"Knstrn",3.59470108772721,2.93224946092083e-28,5.97071151342613e-26
"Itgb2",3.09369559396693,3.01860407542462e-28,6.0790042072782e-26
