"Gene.Symbol","log2FoldChange","pvalue","padj"
"Apoa4",5.074544244947,4.38115895307954e-50,7.84227452601238e-46
"S100a9",-7.0055212143042,2.09941793525826e-48,1.87897905205614e-44
"Fau",-7.12351174705406,9.23411177101262e-45,5.50968669003753e-41
"Hbb-bs",-4.87995595516907,6.61070062036988e-44,2.91370533929e-40
"Rpl36",-7.69024198119043,8.13884172986035e-44,2.91370533929e-40
"Tstd1",-5.12812023026767,1.72336545490853e-41,5.14137360714377e-38
"Zap70",-6.97082037800548,7.1861737485188e-41,1.83760728712124e-37
"Rps27a",-4.53399117398353,2.51016282659285e-40,5.61648932450149e-37
"Lncbate1",-6.92584089499143,1.02141212269276e-39,2.03147522180004e-36
"Gm39794",-7.18363954549653,1.14696256996919e-39,2.05306300024485e-36
"Rpl27a",-7.05527014822172,1.08268228526363e-38,1.76181935511082e-35
"Gm11478",-8.00731870586023,2.35104901482058e-38,3.50698144710736e-35
"Rps28",-6.72671906659976,2.92811118643547e-38,4.03178386439961e-35
"Rpl13a",-7.28907667792372,1.31830894305444e-37,1.6855521486196e-34
"Enho",-6.49481125685605,2.8959894499384e-37,3.45588074359316e-34
"Rps10",-6.73331298133179,8.44459909426635e-37,9.44739523671048e-34
"Hbb-bt",-4.56499381719693,9.79215751284477e-37,1.03105658517601e-33
"Rps5",-5.2395574189345,1.40301704664438e-36,1.32831575185536e-33
"Rps21",-6.89568185624204,1.40994409414814e-36,1.32831575185536e-33
"Rpl29",-5.38579155505132,2.32445337569876e-36,2.08038577125039e-33
"Idi1",-5.28466346621069,2.91497339699113e-36,2.48466780029244e-33
"Uba52",-6.03712755257954,3.1289758959376e-36,2.5458485698765e-33
"Rps27",-7.50473542517172,3.91455584667725e-36,3.04654563719664e-33
"Rps13",-7.44537375503766,4.91881939771757e-36,3.66861946746436e-33
"S100a8",-6.96809001394385,8.39305258419239e-36,6.00942565028175e-33
"Rpl10",-4.58469287759362,1.08445759378896e-35,7.46607343416244e-33
"Rpl6",-4.13340675980578,1.5175255378053e-35,1.00606322691537e-32
"Rpl17",-7.80841398828368,3.05914297340012e-35,1.95566640085222e-32
"Rpl13",-5.10934270067386,3.31941411597221e-35,2.04887974744492e-32
"Rps8",-6.23747887510777,5.28791883174289e-35,3.15512490293992e-32
"Rpl34",-7.44857101001558,7.99994999570026e-35,4.61932596525918e-32
"Rps19",-6.66200552324889,1.26585104678529e-34,7.08085429295524e-32
"Use1",-5.63915033424103,1.54957723396525e-34,8.40528257211456e-32
"1810008I18Rik",-5.9048035700225,5.00752346929191e-34,2.63631382648016e-31
"Camp",-7.40486532626691,7.22222704062233e-34,3.69365325791828e-31
"Rpl32",-6.73747396706203,9.1622868450901e-34,4.55569262575313e-31
"Rps9",-5.42509711916754,1.60766427277904e-33,7.77761904939048e-31
"Rpl24",-6.27911423841018,2.18218331759602e-33,1.02792319434128e-30
"Rpl10a",-6.51165470704105,5.20876107254423e-33,2.39068777432158e-30
"Rpl37a",-6.03122357745068,5.4421570729574e-33,2.43536529014844e-30
"Rps15",-6.20912057917511,8.62882157716993e-33,3.74132630465268e-30
"Rps6",-5.54981157860646,8.77853099415713e-33,3.74132630465268e-30
"Gm13522",-8.78823986738758,1.00641343368773e-32,4.18948847976987e-30
"Rps29",-5.59770433920854,2.21774206126027e-32,9.01407314341645e-30
"Rps7",-6.29994522687089,2.26610777348458e-32,9.01407314341645e-30
"Rpl30",-4.8872591086631,2.89853595750664e-32,1.12790855737758e-29
"Snhg6",-6.66943545740647,3.36722079743989e-32,1.28240962285477e-29
"Rps20",-5.19557236566147,4.03617684581462e-32,1.50515761541837e-29
"Wfdc21",-8.68480679454778,6.5162689034467e-32,2.38043292595298e-29
"Rpl7a",-5.0069474614025,6.94101635106837e-32,2.48488385368247e-29
"Tmem256",-7.15597930660847,1.47594437321644e-31,5.1802753491322e-29
"Rpl14",-5.5889945550912,1.98196681321838e-31,6.8225396070402e-29
"Rpl37",-5.40226384136139,2.02460141396069e-31,6.83780477545215e-29
"Atp5k",-6.87622627415354,2.12064913474822e-31,7.02955916888761e-29
"Rps23",-5.86726700991024,3.72915249625777e-31,1.20595194052511e-28
"Rps3a1",-4.90427201065215,3.77281054019028e-31,1.20595194052511e-28
"Pfdn5",-5.46913184424011,4.63381778400608e-31,1.45518137427559e-28
"Rps14",-6.36427654363836,5.50337754752993e-31,1.69845617415148e-28
"Atp5e",-7.50845977347614,8.42738136203705e-31,2.5567818030587e-28
"Rps12",-6.89479213167879,1.14413437296313e-30,3.41333421267333e-28
"Ndufaf8",-5.16884787265143,3.3940448527371e-30,9.95957423999904e-28
"Rps24",-7.06505952666028,4.60420968335537e-30,1.3292798924526e-27
"Rpl12",-6.19362028429928,4.75493565415265e-30,1.35100552713226e-27
"Cyp2c55",-4.75476450650436,6.2053281489487e-30,1.73555271665909e-27
"Rpl26",-6.37768179284572,6.38706402584787e-30,1.75889917019503e-27
"Avpi1",-5.00712609302907,1.14512491515827e-29,3.10571757292925e-27
"Rps25",-7.05934514808127,1.3718925222576e-29,3.66520539528524e-27
"Rpl35a",-6.66294237760718,1.56723478043995e-29,4.12551508380515e-27
"Rpl37rt",-6.28875565274001,1.70155992611274e-29,4.41419169237942e-27
"Rpl41",-7.22508270123052,2.34745921601134e-29,6.00278856665758e-27
"Amn1",-5.54702496488364,2.51725533203023e-29,6.34631978075227e-27
"Rpl18",-5.16722980853482,2.96720888974515e-29,7.37681098978307e-27
"Nnmt",-4.10588960059598,3.34379593446397e-29,8.19917085300069e-27
"Tpt1",-5.28546603534982,3.75173721069234e-29,9.07514811775579e-27
"Mrpl52",-5.44960925069408,4.06414874036465e-29,9.69976832700362e-27
"Rps16",-6.36141251126527,4.30951003819743e-29,1.0150030221544e-26
"mt-Rnr1",-6.92445455836475,4.80679895194188e-29,1.11742469142545e-26
"Eef1b2",-6.02670940842611,4.93931878766052e-29,1.13351033716825e-26
"Cox16",-6.67950186944132,5.05851585079965e-29,1.1461700472065e-26
"Rpl19",-4.85579308991848,1.04083371812738e-28,2.32886544431001e-26
"Rps18",-6.15986569764283,1.07855787746658e-28,2.38347975390763e-26
"Gchfr",-5.77646298448422,1.15482856665072e-28,2.52090626134731e-26
"Rpl14-ps1",-6.3705358069821,1.36208047546121e-28,2.93749885671755e-26
"Atp5o",-4.3473417491007,2.82648644685e-28,6.02310802364464e-26
"Eif3h",-4.73634510001003,3.64703085217329e-28,7.68021791222375e-26
"Rps2",-3.75755249206807,4.33042111033556e-28,9.0133183575589e-26
"Rpl39",-7.12673811947401,4.77026422301606e-28,9.8146815622974e-26
"Smim27",-6.21764398601793,9.46338258883274e-28,1.92493804931939e-25
"Rps3",-5.43104389878123,1.1883024407417e-27,2.38995659430072e-25
"Eif3i",-3.65626536120966,1.21716766694237e-27,2.42081124869649e-25
"Pam16",-5.34988031861874,1.52269877566567e-27,2.99519869059511e-25
"Rps4x",-4.141221221785,2.20619748891816e-27,4.29249294039512e-25
"Gm5617",-6.18367035556161,2.86017541872062e-27,5.50506881667733e-25
"Fam47e",-5.3662293341707,4.10300049385437e-27,7.8131605148929e-25
"Rpl27",-5.50654624013546,7.31298627440111e-27,1.37792057170295e-24
"Rpl7",-4.01426019899251,1.33858051376886e-26,2.4958949162982e-24
"Rpl36a",-5.37010844725323,1.52829897021286e-26,2.82026304812477e-24
"Rpl35",-6.14665609320692,2.68451946043187e-26,4.90335697364596e-24
"Bri3",-4.80237205126069,3.20803444294992e-26,5.80038550795995e-24
"Hsf2bp",-5.71213819948808,3.80342740154406e-26,6.80813504876386e-24
"Snhg12",-4.58018605894077,4.58807134094501e-26,8.13133435672432e-24
"Zfas1",-5.85123571548982,4.87320429602812e-26,8.55199577440228e-24
"Chchd5",-4.06802269197762,5.35292161633144e-26,9.30265018760512e-24
"Cox7c",-5.7009992114844,5.48714192178071e-26,9.44421542306488e-24
"Mrps24",-5.20663179295733,5.54995898802462e-26,9.4613586557753e-24
"Rps26",-5.12461566184515,5.69583392976323e-26,9.61843654176999e-24
"Rpl15",-4.87053507188556,6.09386274694311e-26,1.01944059037646e-23
"Rpl22l1",-6.28070788604473,1.46236546073985e-25,2.42373534696697e-23
"Apoc1",-5.39784475641104,1.61164867822195e-25,2.64665241652963e-23
"Nme2",-5.26911606176115,1.6391235015471e-25,2.66730097069937e-23
"Hnf4aos",-5.63094181199375,1.76449230098636e-25,2.84544253942845e-23
"Cmc1",-5.21243586732646,2.32288972627585e-25,3.71247554467301e-23
"5033403H07Rik",-7.06983626784852,2.72304945452326e-25,4.30057329428991e-23
"Epb41l4aos",-4.56686888661518,2.73891260083268e-25,4.30057329428991e-23
"Ndufa3",-5.47223267472129,3.7707141820406e-25,5.86919859639363e-23
"Pop5",-4.44423582128602,4.05864026311817e-25,6.2629017853289e-23
"Timm8b",-6.2322411887031,5.16637849860706e-25,7.90411753205695e-23
"Rpl9",-5.57379305319504,6.19925778639653e-25,9.40395884546592e-23
"Rpl11",-5.30752718063678,6.37178504250673e-25,9.58444976982104e-23
"Naca",-4.82096852236401,7.84321876834086e-25,1.16994679961084e-22
"Mrpl14",-5.20951901910375,9.62225114085207e-25,1.4234569869525e-22
"2310015A16Rik",-7.09890283430742,1.28005608430751e-24,1.87811507451675e-22
"Snhg8",-4.32205769319075,1.30634849625841e-24,1.90110878723785e-22
"Dctpp1",-5.33862624763225,1.58676135415279e-24,2.29056679349475e-22
"Npm3",-5.23215842414323,1.78018112507096e-24,2.54651305251676e-22
"TrnI",-3.99676918373801,1.79646051396607e-24,2.54651305251676e-22
"Mettl23",-6.26064848254466,1.80674389759569e-24,2.54651305251676e-22
"AI463229",-3.70780698878776,1.8894954242076e-24,2.64234125729031e-22
"Gm32461",-6.08847878200971,1.94804245157366e-24,2.7030976653619e-22
"Mrpl53",-5.72962292163392,1.99423334821587e-24,2.74590591792801e-22
"Bola2",-5.4764342300629,2.85745478357152e-24,3.90446111648322e-22
"Rplp2",-4.55242971585162,3.40822655844492e-24,4.62176177243667e-22
"Tm7sf2",-3.99855970766418,3.52141571497613e-24,4.7393489697799e-22
"Rps15a",-6.17593095071625,3.96927843666931e-24,5.3022450758493e-22
"Sqle",-4.29357411095676,5.88366405688194e-24,7.80130271245828e-22
"Uqcr11",-5.46849748022403,6.04541915662478e-24,7.95683844879291e-22
"Rps17",-4.58155793981047,6.4985208094626e-24,8.49076806491829e-22
"Ndufa2",-4.71401452570099,7.03484859721195e-24,9.12491231087637e-22
"TrnC",-7.45584627004992,8.68167842259171e-24,1.11800031485174e-21
"Uqcc2",-5.78489555418276,9.43232526730778e-24,1.20599015917721e-21
"Sys1",-3.32759957565886,9.69564050867999e-24,1.23086500074732e-21
"Leap2",-7.4199894050278,1.16152831748359e-23,1.46418006218002e-21
"Cops9",-6.97902996301401,1.5712662553164e-23,1.96682978812333e-21
"Ndufb2",-6.12946835342518,1.59446428942154e-23,1.98200769310038e-21
"1110038B12Rik",-4.6290718990078,1.60811533950143e-23,1.98519066048797e-21
"2200002D01Rik",-6.82944767989515,1.8543651288101e-23,2.27350245244526e-21
"Uqcrh",-5.57163168206776,2.05792761417481e-23,2.50591185671626e-21
"Ndufa7",-6.14377931165844,2.20324961636681e-23,2.66474109006526e-21
"Eef1d",-3.29123074865084,2.22142109435536e-23,2.66868708650745e-21
"Mrps16",-4.83462471712573,2.36959635380782e-23,2.827718315544e-21
"Dpm3",-5.46326639909413,2.50024822372883e-23,2.96387041091033e-21
"3110045C21Rik",-7.67747596245192,2.93106671323933e-23,3.45171672151211e-21
"Pltp",5.22335098223878,3.37169391715614e-23,3.94466151092123e-21
"Ndufb1",-7.15981010054555,4.02007763894361e-23,4.67268764526562e-21
"Ndufb9",-4.92471805035334,6.4754493115762e-23,7.47809952756219e-21
"Cox7a2",-5.0562924478349,1.02431949120113e-22,1.17534095464745e-20
"Ndufb4",-6.83364380882029,1.18080526573994e-22,1.34626842399649e-20
"Snhg1",-4.68671980276693,1.49528551998895e-22,1.69402600049381e-20
"Elof1",-4.83378922193746,1.5943349103882e-22,1.79488018213514e-20
"2310010J17Rik",-5.0195342026476,1.60567792796026e-22,1.79635218190555e-20
"Btf3",-4.37889021894806,1.67334208431294e-22,1.86042380802494e-20
"Rps27l",-6.98214033889168,1.7851173705547e-22,1.97244450203266e-20
"Atp5h",-5.06967386241998,1.89440267629156e-22,2.08035631322815e-20
"Fmc1",-5.39514562624367,2.26692899947545e-22,2.47427006650064e-20
"Uqcrq",-5.61187232923531,2.30209912515231e-22,2.4974287478925e-20
"Oaz1",-3.58158711327963,2.44637259102792e-22,2.63795598671083e-20
"Fam25c",-6.43651777182775,2.5775889828279e-22,2.76280495764188e-20
"Mrpl30",-4.82251054037209,2.71309302702364e-22,2.89073602284067e-20
"Rplp1",-4.54425071596044,3.32747903149393e-22,3.52437128187819e-20
"Atp5md",-6.66767342591881,3.93427865489587e-22,4.14256399544918e-20
"mt-Rnr2",-5.58145904150506,4.04433391306082e-22,4.23354251718062e-20
"Tmem126a",-5.63890219018176,5.39621606033917e-22,5.59420225279589e-20
