"Gene.Symbol","log2FoldChange","pvalue","padj"
"Tk1",-1.78225800905415,2.79645018833324e-123,6.37730465449395e-119
"Gm19619",3.27996515419991,8.75008645633987e-110,9.93512776590734e-106
"Slc46a3",-1.6712759665742,1.30696703783039e-109,9.93512776590734e-106
"Dhrs9",5.01342763455203,2.92021309338762e-88,1.66488648986762e-84
"Ccdc120",3.69494678001967,1.3882532261101e-81,6.33182296428816e-78
"Gpx6",-4.33715915013314,4.21833207972684e-79,1.60331771796951e-75
"Sqle",-4.79706827719901,2.87021299271695e-78,9.3507438998443e-75
"Dusp8",3.93387150775272,1.28757168245803e-74,3.67038402730691e-71
"Limch1",3.45641326426229,7.26405988193656e-73,1.84063206230626e-69
"Tm7sf2",-2.33661889418978,1.61352251619277e-71,3.67963809817762e-68
"Anxa2",3.0793739592331,6.82663771935098e-70,1.41528611990726e-66
"Gstt2",-1.75824611237642,8.22893617654341e-70,1.56384074588394e-66
"Lpl",3.65601510440987,2.80012270397911e-68,4.91206140494181e-65
"Apol7a",-1.60094728330469,5.79321103325691e-68,9.43672697238741e-65
"Rnf144a",2.20681923940472,8.98405928565699e-68,1.36587648006272e-64
"Nmrk1",-1.68580968594748,6.65663500743999e-65,9.48778508404181e-62
"Tubb2a",3.43891954942117,1.70049788423822e-62,2.28116789706192e-59
"Nrg1",3.22057347656607,5.23218238783908e-61,6.62888440859279e-58
"Adam11",3.78256399210134,7.20585911556415e-58,8.6489272173916e-55
"Tmem71",1.86358744827999,2.0354977323943e-56,2.32097628936261e-53
"Ifi207",1.95170880780299,3.30346316052206e-56,3.58740368455741e-53
"Trem2",4.72695106852444,2.39777550765287e-55,2.4855122932738e-52
"Msmo1",-3.31855214773849,4.06232276318349e-55,4.02788133106085e-52
"Ifi27l2b",2.4736073967065,2.41778237431664e-54,2.29739696026212e-51
"Ano6",2.04219541718504,1.2100402525288e-53,1.10379871835677e-50
"Sdcbp2",4.99429910215343,6.45765164725765e-53,5.66410560829656e-50
"Ehd4",1.74614581487304,2.97884226817514e-52,2.51601844169385e-49
"Gramd1b",2.95167970735497,8.09578212320878e-52,6.59372540427773e-49
"Chka",2.66705902797006,1.05084321279165e-51,8.26361360955644e-49
