"Gene.Symbol","log2FoldChange","pvalue","padj"
"Mbd1",3.0227113735807,5.35135412089388e-51,6.42001953883639e-47
"Mug2",-5.67922660624296,2.3932000969919e-41,1.43556107818059e-37
"2410089E03Rik",3.72514306363023,4.77521682421788e-38,1.90960920800473e-34
"Mbl2",2.37175538055859,4.37622033410942e-36,1.31253788370777e-32
"D7Ertd143e",-4.26454588959258,4.39863011547689e-27,1.05540730990752e-23
"Ccng1",1.95801194129129,1.5557958689657e-26,3.11081383999693e-23
"Glul",-1.86452655964408,1.50397586133033e-24,2.57759977262572e-21
"Cyp4v3",1.47394994823775,1.37425182512215e-20,2.0608623932488e-17
"Glo1",-1.47769910320133,1.77725252820158e-20,2.36907762009271e-17
"2810474O19Rik",1.97291580548157,7.71170558779682e-20,9.25173319367984e-17
"Ugt3a1",-2.55572415789335,1.63195877338271e-18,1.77987358220658e-15
"Scd1",-1.73302343033425,4.59434947867893e-18,4.59320089130926e-15
"Oat",-1.30928926328235,4.32712272882385e-17,3.92947278432036e-14
"C4a",1.95136174985169,4.58553129786489e-17,3.92947278432036e-14
"Rpp40",3.88945898025773,9.54709916980374e-17,7.63576991600903e-14
"Abcc3",-1.78330573332653,1.87592160462344e-16,1.40658946816671e-13
"Ifi27l1",2.57901900981319,2.72878868868164e-16,1.9257222293008e-13
"Ppp1r3c",-2.61797288795503,3.88855365704184e-16,2.59172101241839e-13
"Hsd17b6",1.50032247887234,1.49635269207164e-15,9.44828591935972e-13
"Rpph1",1.19493759281352,1.58893512175103e-15,9.53122732782356e-13
"Slc1a2",-1.88406428390088,4.54788983650061e-15,2.59814449373799e-12
"Camk1d",-1.80034395731968,8.70943359910394e-15,4.74941249492954e-12
"BC021614",2.31281842758229,1.43203643380207e-14,7.46962656361891e-12
"Steap4",1.58841281798937,3.26259246838429e-14,1.6308884101336e-11
"Cdo1",-1.27544988171923,8.83797040147598e-14,4.2411652362603e-11
"Apol9a",3.33891686086503,1.01957524591419e-13,4.7045554712433e-11
"Ccdc11",8.8989325080177,1.86341178013852e-13,8.2797596764155e-11
"Plk2",2.68336717467088,8.50735574076417e-13,3.64509810078385e-10
"Lcn13",5.75690961225082,1.08396296463911e-12,4.48424265061219e-10
"Ang",1.18225837908502,1.95261222778812e-12,7.80849629892468e-10
"Tek",1.66092240997294,2.90016156232589e-12,1.12236252462012e-09
"Acss2",-1.62696298319348,3.66275080659259e-12,1.3731881695841e-09
"Hsp90aa1",1.24457536444824,4.16440958827547e-12,1.46942726719062e-09
"Ncaph2",-1.32376379040015,4.1644183616305e-12,1.46942726719062e-09
"Trim24",-4.53973892546419,6.08036007343673e-12,2.08417370860058e-09
"Adh6-ps1",-3.17491087725583,8.35625193619828e-12,2.78472095773808e-09
"Elovl5",-1.13897684840678,1.36887556525776e-11,4.43848652875604e-09
"Rgn",0.912540970639193,3.12664598580735e-11,9.87115049782388e-09
"Eda2r",5.331729973127,4.401864919965e-11,1.35408137038e-08
"8030442B05Rik",2.58477030336059,6.95588491849738e-11,2.08624378418033e-08
"Cdkn1a",2.53262475553429,8.83214910324883e-11,2.58437299491893e-08
"Rcan1",2.11755922431205,9.07191958795391e-11,2.59132903087341e-08
"Mx2",3.01092542774479,2.35969749751232e-10,6.58355601805938e-08
"Gstp2",2.25679989714642,2.88898686170786e-10,7.87708531361572e-08
"Me1",-1.3388630811208,7.38867315232305e-10,1.96982026240933e-07
"Rlf",1.29426308093861,1.12473881653728e-09,2.9333677352169e-07
"Cyp2e1",-1.19752530985129,1.19514720216924e-09,3.05067680519669e-07
"Ugt1a1",-1.2192677785518,1.33348086515668e-09,3.33286873735098e-07
"Mep1a",7.54492466697065,1.57996151396375e-09,3.8683261802088e-07
"Usp18",2.92797617159302,1.70885149318574e-09,4.10021827274986e-07
"4933417D19Rik",-2.26498955607543,2.96847696221681e-09,6.9829055128853e-07
"Myo1b",-0.9524158973453,3.43618434972134e-09,7.92767377761671e-07
"Gm10319",-1.64447851064208,3.74805108868738e-09,8.48403186999671e-07
"Adck3",-1.4636279890702,3.94934289980531e-09,8.77412347573413e-07
"Mlec",1.08218731061978,4.55112010383562e-09,9.92723416103925e-07
"Slco1a4",-1.80234785081285,5.2358657620433e-09,1.12169074191488e-06
"Asns",2.35272911205801,5.57537240138538e-09,1.17346917016527e-06
"Rprl3",-7.46012144802016,6.50366691242323e-09,1.3452498611783e-06
"Afp",3.41351725795852,8.1949081564258e-09,1.65598254014379e-06
"Lgals3bp",1.49759270006825,8.2819831965181e-09,1.65598254014379e-06
"6030498E09Rik",3.32681633101762,9.38959180026254e-09,1.84440188423202e-06
"Col5a2",3.28123118366988,9.53179268336962e-09,1.84440188423202e-06
"Mcc",-1.50814942539177,1.1011978186138e-08,2.09699527458885e-06
"Tsku",1.536824439479,1.22379504927173e-08,2.29404206345514e-06
"Ube2l6",1.17368554344323,1.41748096864803e-08,2.6162337201339e-06
"Pdk1",-1.23899025953886,1.54842326850562e-08,2.81461120488818e-06
"Zfp445",0.946496955176666,2.21099622024289e-08,3.9590032319782e-06
