"Gene.Symbol","log2FoldChange","pvalue","padj"
"Apoa4",3.68721144354292,5.85728039256903e-75,9.18011555927344e-71
"Mup18",-3.91637340381353,2.51743824309827e-35,1.97279047920396e-31
"Mug2",-2.06858439706285,5.03092579203916e-29,2.62832333128766e-25
"Ppp1r9a",-2.35391446655823,1.5647976697835e-28,6.13126846962921e-25
"C1rb",6.72983889220659,3.40605277202234e-27,1.06766130191812e-23
"Cyp3a11",-2.39997171245473,1.47016536682386e-24,3.84031696570507e-21
"G0s2",1.95042559994688,2.3771109764286e-24,5.32235147622363e-21
"Hsd17b6",-2.36531371469329,5.06030938088507e-24,9.91377861582645e-21
"Gm33459",-3.87159416422691,2.4077147723813e-23,4.19290151417024e-20
"Hsd3b5",-2.03264728480611,1.64997911831626e-21,2.58601227213707e-18
"Tcim",2.29247134671969,6.40664757114014e-21,9.12830794386176e-18
"Epha2",1.99278592270322,9.61903639082808e-20,1.25632631127874e-16
"BC049987",-3.81308474099356,1.2788363103222e-19,1.54178473012922e-16
"TrnG",-10.585523396409,6.23181238471784e-18,6.97651396469162e-15
"Gm44478",-10.8229327609541,6.77523058537577e-18,7.07921259763963e-15
"1810064F22Rik",-2.9621652988154,8.02208627676279e-18,7.85813488848145e-15
"Nfil3",1.71504801967365,7.5627876437312e-17,6.97244533765877e-14
"TrnR",-5.78204034158462,9.89572544356222e-17,8.61642804871948e-14
"Zbtb16",2.25031049651162,1.47892831887843e-16,1.21996018640956e-13
"Lncbate1",-6.27758887056924,8.62412879106135e-16,6.75829852711523e-13
"Slc22a26",4.7607622775131,9.30953687530868e-16,6.94801768793871e-13
"Clec2h",-6.79025928293311,1.47838653840968e-15,1.04908086676669e-12
"Angptl8",2.01807336869466,1.53951763769756e-15,1.04908086676669e-12
"Bhlhe41",-4.61507593711005,1.8187159485813e-15,1.18769729425478e-12
"Fgf21",2.96414336060395,6.01488591535701e-15,3.77085227805562e-12
"Nlrp12",-3.27341923957237,7.27726036403887e-15,4.38678852636851e-12
"Marcksl1-ps4",1.90605810574279,9.66525154880371e-15,5.61049953794076e-12
"Gck",1.69586982695639,3.09644886300201e-14,1.73323725106537e-11
"Mup13",-2.32511039526191,9.31413462540587e-14,5.0338079994478e-11
"Omd",2.10199029510675,1.03728572770043e-13,5.41912640341629e-11
"Cry1",2.40222409588563,3.9653882103552e-13,2.00482352970636e-10
"Adh6-ps1",-1.4696327901627,8.32777281637761e-13,4.07878697972145e-10
"Ugt2b35",-1.24152615450735,1.60777585624884e-12,7.63596090757212e-10
"Slc2a4",4.38139624309803,1.75676387895572e-12,8.09816478672736e-10
"Adam11",-1.66143217151852,2.11128483858779e-12,9.45433350719611e-10
"1810055G02Rik",1.23558630746346,4.44908584365727e-12,1.93695895632334e-09
"Gm30107",-2.60978298778716,5.31905481023403e-12,2.23730133293448e-09
"C1s2",6.4270269958148,5.42445292231929e-12,2.23730133293448e-09
"Gm10319",-1.53941143295165,6.36041560883141e-12,2.55607163685166e-09
"Ces1d",1.75187201683612,7.21216450250572e-12,2.8259063561943e-09
"Nudt7",-1.10809013383005,1.30829734701686e-11,5.00120593165736e-09
"Hes1",1.45367776002803,1.86541640798161e-11,6.96111222911802e-09
"Lnx1",-3.17519260732057,2.69038867473469e-11,9.80615388351553e-09
"Vnn3",1.0433840983467,2.86518630892272e-11,1.0205923868124e-08
"Nr1d2",-1.302116457231,3.1736921095083e-11,1.10536169849608e-08
"Pfkfb3",-2.09308720752188,3.30615738820903e-11,1.12646532055218e-08
"Gm15638",-1.77003111240751,3.82392440524427e-11,1.2731715220345e-08
"Gm3734",-1.77543643895102,3.89920455928386e-11,1.2731715220345e-08
"Lifr",-1.31215363333492,6.57668098109904e-11,2.10359838809725e-08
"Lrrc28",1.04019259953098,8.10343206963903e-11,2.53082455415285e-08
"Mbd1",-1.17646101928786,8.23531246486285e-11,2.53082455415285e-08
"Lonrf3",2.09515005495643,9.62523006558953e-11,2.90108136188432e-08
