"Gene.Symbol","log2FoldChange","pvalue","padj"
"Nudt7",-3.7936841483694,5.3178947938357e-256,9.25845483606795e-252
"Srxn1",2.94051159106456,2.32182075300904e-141,2.02114496549437e-137
"Ly6d",6.8087442283128,7.48488626195111e-131,4.34372899401896e-127
"Mup7",-10.7173190295787,2.45791513003706e-126,1.06980756034863e-122
"F11",-2.90632370819237,3.09031775974846e-122,1.07604864394441e-118
"Egfr",-1.97726355380481,1.4646891811461e-121,4.25003977395892e-118
"Slc7a11",5.41603075104102,7.2803512754402e-118,1.8107273672202e-114
"Selenbp2",-4.6843583693975,7.76923617156112e-116,1.69078002183599e-112
"Erg28",-2.14361869029263,1.51761548545098e-101,2.93574284463351e-98
"Msmo1",-4.24979439266291,1.99238508125777e-97,3.46874242646977e-94
"Hmgcs1",-3.12652342994062,8.61632414755244e-81,1.36372912189898e-77
"Cyp51",-3.7575060431112,5.31785803003074e-79,7.71532569190293e-76
"Dbi",-1.69967205370452,2.73357857281678e-75,3.66089253482616e-72
"Nsdhl",-4.13242480843197,1.00269632837455e-70,1.24692450550007e-67
"Apoa1",-1.87522803516847,7.47575004058542e-63,8.67685388043948e-60
"Mup14",-8.25310495959628,4.53139213926591e-60,4.86635092928061e-57
"Fdft1",-2.93149257195856,4.7517499022269e-60,4.86635092928061e-57
"Cabyr",-4.75939009714987,6.76295401905861e-57,6.54127941510058e-54
"Cyp4a12b",-9.14419234212032,7.39278454809481e-57,6.77412520959635e-54
"Atf5",1.73410230368873,3.07984377534145e-56,2.68100400643473e-53
"Cyp4a12a",-8.52667007672813,9.05297961200017e-56,7.50535119261538e-53
"Slco1a1",-7.45907416950667,2.17968509260526e-51,1.72492352101171e-48
"Cbr3",6.61256672466297,9.55864735031494e-49,7.23548045082535e-46
"Mvk",-2.25535215150172,6.94272340978687e-48,5.03636727351622e-45
"Tm7sf2",-3.65087548887211,9.20079524202577e-48,6.40743380654675e-45
"Fdps",-4.3061502878905,3.40527993718576e-46,2.28022783486169e-43
"Lcn2",2.09623441952299,2.4552462669266e-44,1.58317916693304e-41
"Serpina3k",-3.67455886030164,4.03328463684005e-44,2.50783876883519e-41
"Lifr",-2.26592697936068,2.33775560919957e-43,1.40345948814361e-40
"Src",3.03952915188525,5.55858813207586e-43,3.22583397931469e-40
"Ttc39c",-2.98568789056235,6.98364440682473e-41,3.9221048104135e-38
"Ebp",-1.63279190017123,1.22720497167997e-40,6.67676204904634e-38
"Bdh2",-2.74602100330287,1.55673972327853e-40,8.21298138856943e-38
"Gm30262",-3.30841335667745,2.39626797181029e-40,1.22703015850639e-37
"Pcyt2",-1.6704676168286,8.73011243444745e-40,4.342607356678e-37
"C6",-2.22074048535744,8.98634463672472e-40,4.34589611459382e-37
"Cd36",2.52074785530216,1.13340169549596e-38,5.33311446448232e-36
"C4a",-3.599610124781,2.19324383238598e-38,1.00485197689053e-35
"Atp2b2",5.19193077202986,5.13626018099355e-38,2.29287922438712e-35
"Fabp1",-2.481707209081,7.76072950823172e-38,3.37785751845786e-35
"Aldoc",-3.14726977599057,1.88740451533294e-37,8.01456405169427e-35
"Lrit2",-5.67071881401411,2.24306810940003e-37,9.29805137729868e-35
"Moxd1",-10.7241023295893,4.35434711991548e-37,1.76300426413322e-34
"Serpina1e",-6.55207762942325,2.90382670818458e-36,1.1489914315794e-33
"Gm4956",-4.96370340468051,2.73251610692523e-35,1.05718012047929e-32
"Hmgcr",-3.36356619645483,4.38953202458263e-35,1.6613424466953e-32
"Keg1",-4.2035717531685,1.17869316518265e-34,4.36618042677233e-32
"Fam25c",-1.93929566777158,2.67849352185647e-34,9.7151192115669e-32
"Nid1",3.41188322435108,5.57627288319332e-34,1.98128389584481e-31
"Trib3",3.43704734911747,6.87644183649727e-34,2.39437704746835e-31
"Capn10",-1.59966233248047,9.79435550406732e-34,3.34352410442769e-31
"Clec2d",-1.81836180037587,1.32578480870503e-33,4.43882952299127e-31
"Car1",-4.40938087105501,2.41646857203045e-33,7.93787129038682e-31
"Nt5e",3.57398780033782,3.65440097622678e-33,1.17820594437238e-30
"Ppfibp1",1.5099891875651,3.87673642189016e-33,1.22716329282014e-30
"Mmp12",6.3292261673739,9.38611786917498e-33,2.91807700182744e-30
"C8b",-2.26091301561909,2.69392516110424e-32,8.22828720260084e-30
"Fndc10",4.55904704699997,3.96123150375054e-31,1.18905242207409e-28
"C8a",-1.80027146443461,5.33940601531775e-31,1.57557726655393e-28
"2510009E07Rik",2.09797377036644,5.8372886593108e-31,1.69378659264335e-28
"Hagh",-1.77244139321824,6.84841679433986e-31,1.94499673817045e-28
"Gm15998",-3.71619088107434,6.92646741910212e-31,1.94499673817045e-28
"Acy1",-1.58951119568888,8.94172542406335e-31,2.47103872433243e-28
"Rilp",-1.69313746674692,5.5930990084536e-30,1.52149771464339e-27
"Cd63",3.95802875873655,5.7316099661872e-30,1.53518968478952e-27
"Igf1",-1.12784654321817,3.70957001560683e-29,9.78539605632045e-27
"Slc3a2",1.26775908917773,1.05873949219102e-28,2.75114247149935e-26
"Gm42333",-2.75776008173282,1.72825777304194e-28,4.42484821009708e-26
"Acat2",-2.26421142172466,2.78127381664831e-28,7.01767784751407e-26
"Slc16a1",1.50787612628033,3.25785953462444e-28,8.10276207111592e-26
"Gm3734",-6.11790299079241,3.74602119943659e-28,9.18566606791423e-26
"Mmab",-1.67133858109228,5.10282174662064e-28,1.23389064734257e-25
"Dtx4",2.22497884675192,1.42089351126604e-27,3.38873370289614e-25
"Hsd17b7",-2.57837331078804,1.65783164980866e-27,3.90038500313092e-25
"Sema4g",-1.30324166010622,2.24350256064944e-27,5.20791727745424e-25
"Dmac2",-1.6518648831378,2.58498049010111e-27,5.92164609640268e-25
"Cdkn1a",3.88100402892313,3.51515839015676e-27,7.85826810870366e-25
"Zbtb4",1.28840622129491,3.52064854956281e-27,7.85826810870366e-25
"Fgf21",6.0052952277012,3.87176244564424e-27,8.53258027578053e-25
"Mindy3",-1.07538595507453,5.55440314878654e-27,1.20877698525467e-24
"Scn1b",1.79511301455862,6.78947149608726e-27,1.45931726847999e-24
"Scamp5",1.24407270456102,7.49978174365205e-27,1.59233170923149e-24
"Fahd1",-1.77310216297512,1.21465505062483e-26,2.54784872667209e-24
"Ifngr2",1.26894845767422,1.31095712021167e-26,2.71711469796252e-24
"Rab3d",1.49606012203121,1.6896787792419e-26,3.46085971136489e-24
"Grik5",-1.82482799268104,2.6127403281269e-26,5.28928012938247e-24
"Stard4",-2.36713989307279,3.07195061191199e-26,6.14743220153882e-24
"Cyp2b9",6.5781392365535,3.52416238470103e-26,6.97223489973238e-24
"Prss23",2.79436520630106,1.20792855014611e-25,2.3629253997802e-23
"Clip2",2.52605825852891,1.36960642197309e-25,2.64942753406129e-23
"Clec2h",-8.09519142492479,1.48510013794783e-25,2.84127400018371e-23
"Ces3b",-5.68861833268107,2.25140298895307e-25,4.26053543887749e-23
"Phlda3",3.6627194815188,3.28204812501733e-25,6.14413525339267e-23
"Mapkapk2",0.955812069546363,3.37289714905563e-25,6.2470361026658e-23
"Hsd3b5",-12.9291530142432,5.35529003365809e-25,9.81427363010393e-23
"C3ar1",3.69549296717637,6.35429458349535e-25,1.15237779894431e-22
"Mvd",-2.970649140555,8.23192457169643e-25,1.47750316281685e-22
"Psat1",3.56987589531694,1.19848859481395e-24,2.12915167711336e-22
"Itgb5",1.05848538507467,1.29745291483069e-24,2.28168234820226e-22
"Lgals3bp",1.48736822028833,1.32602614867084e-24,2.30861152483593e-22
"Colgalt1",0.985505464424577,1.4633746778831e-24,2.52251021207374e-22
"Chac2",-1.52938913259862,1.92927339364945e-24,3.29300488072911e-22
"Apof",-0.959817773385638,2.87585236236121e-24,4.8610281192921e-22
"Slc22a28",-7.15760730993692,3.10372261526345e-24,5.19575103189775e-22
"Epdr1",4.76497784056793,3.24590603895787e-24,5.38042846388898e-22
"Nrg1",4.91606892184528,3.27584961040914e-24,5.38042846388898e-22
"Pmvk",-2.93068999771298,3.54166115870418e-24,5.76264680121866e-22
"Galnt10",1.90043618732506,3.7592137666499e-24,6.05999182197915e-22
"Hao1",-2.22163528713156,7.87642061395769e-24,1.2580594760459e-21
"BC049987",-1.50448363338839,1.15469909252961e-23,1.82757374554005e-21
"Vldlr",4.30026704084892,1.49332248497298e-23,2.34222923093509e-21
"Pyurf",-1.42254224613323,1.95176949868304e-23,3.03395597964926e-21
"Upp2",-5.03231520262226,3.15293204066665e-23,4.85774750690323e-21
"Rragd",3.51339029745114,3.62037919769665e-23,5.52901770455252e-21
"Grem2",-2.93792754887184,4.77008075446331e-23,7.22148747262664e-21
"Impa1",-0.887187381970139,6.11235861157815e-23,9.17380719203238e-21
"Morc4",2.94528356247064,7.59772718499207e-23,1.1305677802625e-20
"St6galnac4",2.74979147079104,1.0059779214776e-22,1.48424369601059e-20
"Rsrp1",-1.48251062759531,1.05024769598826e-22,1.5365388560635e-20
"Mast3",-1.56481679076972,1.13617354851165e-22,1.64839845663232e-20
"Gpnmb",5.73744923358821,1.29373995554042e-22,1.86148864677345e-20
"Tecr",-1.16538609531441,1.43546691440347e-22,2.04848188358724e-20
"Abcc4",4.61191462364259,1.49330727892126e-22,2.11369753870074e-20
