"Gene.Symbol","log2FoldChange","pvalue","padj"
"Cyp51",-4.47098230546599,1.94976375965261e-168,3.30036511596397e-164
"Sqle",-6.84313160742031,1.2107437488327e-164,1.02471297182456e-160
"Msmo1",-4.50079514649367,2.78834976090739e-137,1.57327988009598e-133
"Keg1",-4.40268946463632,9.49439786759135e-112,4.01779181761797e-108
"Pcsk9",-4.532491630272,5.28702233814774e-101,1.78986854235654e-97
"Slco1a1",-7.66264728504216,2.54431959113808e-97,7.17794961986571e-94
"Cbr3",6.20938272441973,6.07254749219558e-96,1.46842873429135e-92
"Sult2a8",-5.02873453270859,7.28591289566278e-94,1.54160809481105e-90
"Nsdhl",-4.40886811369616,1.22532699207841e-88,2.30456777721236e-85
"Stard4",-3.24784517954195,1.43162179992549e-88,2.42330622073387e-85
"Car3",-3.86646393041333,2.54273629514639e-88,3.91280884254026e-85
"Fdps",-4.81167616207669,4.13947915313731e-83,5.83908030209627e-80
"Hmgcs1",-3.41048086350322,1.56800252083537e-80,2.04165989770617e-77
"Tm7sf2",-3.21459354139611,3.25719056742471e-80,3.93817605248558e-77
"Insig1",-3.93476531156486,2.06012691470154e-77,2.32478455234353e-74
"Ugt1a9",3.84101420077985,2.16975574777935e-68,2.29546597141632e-65
"Aldoc",-4.26567513165064,8.40048384979304e-68,8.36441118384981e-65
"Ttc39c",-2.51369183048354,1.43851209906664e-67,1.3527607944945e-64
"Ly6d",6.14019928209848,5.45324668792973e-64,4.85826877297824e-61
"Cyp2a22",7.16493674740943,1.18542263010871e-63,1.00328244299251e-60
"Fdft1",-2.75125085334062,2.16486368438438e-61,1.74498321836068e-58
"Nudt7",-3.76343351654004,8.18918816346753e-59,6.30083582013704e-56
"Elovl3",-3.797291343001,2.26419269982686e-57,1.6663473839117e-54
"Abcc4",4.95424304972715,3.86272992714932e-57,2.72435122820236e-54
"Mup7",-7.57990653654231,1.24970036111355e-55,8.46147120502765e-53
"Apoa4",3.73023236504635,1.91988477460102e-54,1.24991882998737e-51
"Lss",-3.10712253461103,8.8898837130432e-51,5.57329857817341e-48
"Cyp2b9",7.34710669698196,5.51644775121927e-50,3.33488968160316e-47
"Mvd",-3.39273247779535,2.89815170125997e-49,1.69162116714577e-46
"Gm41999",-3.52151452755314,1.17763000528898e-47,6.64458103317554e-45
"Klkb1",-1.60093079223863,1.67500773816173e-47,9.14608257543984e-45
"Fabp1",-2.53945836189417,1.88407775372068e-47,9.96618254288438e-45
"Cabyr",-3.92268914596324,7.43516194751362e-47,3.81378746319888e-44
"Slc22a30",-2.71297358644895,2.13298945249288e-46,1.06191507242197e-43
"Gm30262",-2.8842788085277,9.81065870867379e-46,4.74471485604918e-43
"Cd36",2.78700528246667,2.60526759460599e-44,1.22498234927488e-41
"Susd4",-3.96152501093139,6.25753482346221e-44,2.86273762045256e-41
"Moxd1",-10.2163657268996,3.27055539493807e-41,1.45686029395044e-38
"Upp2",-4.33802523966936,3.94788288023848e-40,1.71348239778966e-37
"C4a",-3.36340263318735,7.45508549038697e-39,3.15480580239451e-36
"C730036E19Rik",-3.96712863746137,1.86939550735999e-38,7.71786774465426e-36
"Thrsp",-4.54669775857728,2.18544719930214e-38,8.8078725577589e-36
"Grem2",-3.37367378990344,2.74536956855071e-37,1.08071792295018e-34
"Car1",-3.92940571730747,3.35023308417824e-36,1.28884989581557e-33
"Gm4956",-5.28526400132479,1.15783170157937e-35,4.35524826947422e-33
"Lrit2",-4.44645715925501,1.20930614628603e-34,4.4499837256921e-32
"Col5a3",-2.61567174384351,2.74889514098184e-34,9.90011660668078e-32
"Hmgcr",-3.56810629072715,2.03337356194572e-33,7.17060714230315e-31
"Haao",-1.77268543129912,4.7172681580099e-33,1.62957547164558e-30
"Arntl",3.30525772095546,5.87852502391648e-33,1.99011586159669e-30
"Aacs",-3.59298961891687,8.299802198108e-33,2.754720623674e-30
"Pyurf",-1.47703922788539,8.58326314056997e-33,2.79401721500823e-30
"Slc48a1",1.59442212038915,1.75095439433752e-32,5.59215189300966e-30
"Erg28",-2.06683481756649,3.60451672121248e-32,1.12988249148081e-29
"Slc3a2",1.42188387576685,5.14766115631791e-32,1.58426291623624e-29
"Nat8f1",-2.81321248437879,7.86958740618622e-32,2.37872332186633e-29
"Atp2b2",5.20667425731884,9.70884907135841e-32,2.88318751282252e-29
"Lifr",-1.80264487161752,2.1685549971516e-31,6.32881559254916e-29
"Mmp12",4.53648946100287,2.66551013434625e-31,7.64730339730153e-29
"Nat8",-2.78159691777752,1.44374467920119e-30,4.07304436413976e-28
