"Gene.Symbol","log2FoldChange","pvalue","padj"
"Elovl3",-2.99858038701196,7.42336391235092e-101,9.30741367330558e-97
"Serpina1e",-2.35471221569565,5.96120578356754e-81,3.73707990571849e-77
"Dbp",4.54961917546639,3.4802397505137e-64,1.45450819973136e-60
"Mup21",-3.2058820207806,6.82371483760613e-64,2.13889341584764e-60
"Selenbp2",-2.14974890620312,1.02677633465292e-59,2.57474433677567e-56
"Gpnmb",5.21478013408333,4.32898897191226e-58,9.04614395497265e-55
"Tff3",-4.85068290105924,2.29866769132789e-49,4.11724221626701e-46
"Mup17",-7.2696869309447,3.85953716913632e-46,6.0488596283289e-43
"Cyp2c67",-1.78792950251236,2.27323900857853e-39,3.16687452106195e-36
"Oat",-2.09321140637046,1.70899998715587e-35,2.13201697258242e-32
"Susd4",-2.5372152935113,1.87048865037539e-35,2.13201697258242e-32
"Col1a2",2.38966683453492,6.50512163347233e-33,6.79676792003968e-30
"Col3a1",1.93781581389756,1.40766761037249e-32,1.35764126914233e-29
"Mup18",-7.78506818808234,8.68410324567211e-32,7.77723474958836e-29
"Enho",-2.61379969962136,1.36848935230955e-31,1.14387463328381e-28
"Slc22a28",-3.21324141759835,2.52557409199378e-31,1.97910299783863e-28
"Apoa4",1.84623862255875,2.74272077212725e-30,2.02283723770185e-27
"Col1a1",2.49050702937471,6.76387332287255e-29,4.71141354012089e-26
"Cyp7b1",-1.53373791909022,1.85817580947836e-28,1.22620043680209e-25
"Slc1a2",-1.93722039079654,6.5858541313493e-28,4.12867195494287e-25
"Lhpp",-2.00690073206594,7.55751147486267e-27,4.51219423199182e-24
"Nxpe2",-3.32535322821417,2.05316558357062e-25,1.17011773121856e-22
"Serpina7",-1.54179656420177,7.8042112009394e-24,4.2543130451034e-21
"Mup9",-3.93620632480448,3.71668723090371e-23,1.94165935421128e-20
"Gstm3",1.49803757525327,8.81710979083508e-23,4.42195690229961e-20
"Pitx3",-3.34355390586275,5.94605694772278e-22,2.86737161579031e-19
"Cyp2c38",-2.14644008143666,5.90638402216275e-21,2.74274973592135e-18
"Tenm3",-2.85535078147103,8.75959683670762e-20,3.92242232638e-17
"Cyp26a1",1.68657822647688,1.81299187152286e-19,7.83837658108746e-17
"Npr2",-1.65004250330674,2.36990351219459e-19,9.90461674529861e-17
"Lum",2.02704892526975,3.70060007256541e-19,1.49671366805888e-16
"Cyp2c37",-1.17092659902885,9.04246145323086e-19,3.54294942814402e-16
"Mup-ps16",-6.07865580089065,3.01483573400605e-18,1.14545486160509e-15
"Tef",1.40054396013493,1.20989905259802e-17,4.46168068278648e-15
"Eda2r",4.44075514123551,9.92451223940039e-17,3.55524384164577e-14
"Avpr1a",-2.05543327752926,2.60605007206669e-16,9.07629327877005e-14
"Adh6-ps1",-1.42646128796269,4.15546977388939e-16,1.40814270337906e-13
"Cyp2a22",3.49610207111524,1.42274901670732e-15,4.69432293986219e-13
"Mmp2",2.30578665204881,1.66071668264069e-15,5.33899122229461e-13
"Cyp2u1",-1.89294635463364,3.60316433946541e-15,1.12941186220543e-12
"Sulf2",1.7005493645346,4.99218367233227e-15,1.52663411911468e-12
"Ccl5",2.6965724401738,5.82389050043515e-15,1.73856997843943e-12
"Gadd45g",-1.90104715597063,2.50682516351139e-14,7.30943579072229e-12
"Srgap3",-3.42511512477136,2.99000239916563e-14,8.52014774562242e-12
"Mmp12",3.59974273993003,1.47531733551057e-13,4.11056194502922e-11
"Clstn3",-2.18820769970792,1.29612577093142e-12,3.53278802520394e-10
"Fitm1",-4.32233275320303,1.51621142223179e-12,4.0447359174345e-10
"Cd63",1.95697574196375,1.79175200433185e-12,4.68020554798183e-10
"Moxd1",-11.5940833375278,2.27223850464781e-12,5.81414823903556e-10
"Ccdc80",1.56372396505315,2.38985295260529e-12,5.99279526395302e-10
"Gm40794",-4.38040559610831,7.03254250814887e-12,1.72890231308177e-09
"Glul",-0.97905830263756,8.1649412776256e-12,1.95747004416446e-09
"Tubb2a",-1.03686737022006,8.27451845116577e-12,1.95747004416446e-09
"Aldh1b1",1.09892927798107,9.13695834966325e-12,2.12146636644589e-09
"AY036118",-0.927889036767506,9.71507248523047e-12,2.21468325126945e-09
"Upp2",1.09803878956463,1.03600974653658e-11,2.31955182179922e-09
"Apoa1",-0.856376155264531,1.56581298010842e-11,3.44423914817533e-09
"Sirpa",1.47764474033743,1.89799076661154e-11,4.1029324537544e-09
"Col4a5",2.12845133351191,4.96940344826121e-11,1.05604034634405e-08
"Olig1",-2.18495631055731,5.55119441577518e-11,1.16001459308315e-08
"Mup20",-1.10743427335743,6.73501950360722e-11,1.38432253338078e-08
