"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","receptor ligand activity","GO:0048018","true","0.01884234523898644","1.7248650431056736","172","80","9","14711","NRG1,NGF,GAS6,IL34,PDGFD,BMP6,SEMA6A,TGFB2,SLIT2"
"GO:MF","signaling receptor activator activity","GO:0030546","false","0.026391011763785544","1.5785439597228779","179","80","9","14711","NRG1,NGF,GAS6,IL34,PDGFD,BMP6,SEMA6A,TGFB2,SLIT2"
"GO:BP","kidney development","GO:0001822","true","0.002964934091344782","2.5279849562907515","237","80","11","14711","NID1,BCL2,IQGAP1,BICC1,PDGFD,BMP6,ANGPT1,PKHD1,TGFB2,SLIT2,SCHIP1"
"GO:BP","positive regulation of locomotion","GO:0040017","true","0.004028412043955013","2.394866114269405","435","80","14","14711","RTN4,BCL2,IGF1R,IQGAP1,GAS6,IL34,PDGFD,RHOJ,SEMA5A,ANGPT1,SEMA6A,TGFB2,SLIT2,ANO6"
"GO:BP","renal system development","GO:0072001","false","0.00415829100528744","2.3810851211690016","245","80","11","14711","NID1,BCL2,IQGAP1,BICC1,PDGFD,BMP6,ANGPT1,PKHD1,TGFB2,SLIT2,SCHIP1"
"GO:BP","regulation of epithelial cell apoptotic process","GO:1904035","true","0.010428672818237766","1.9817709575744866","78","80","7","14711","BCL2,NGF,IGF1R,GAS6,ANGPT1,PKHD1,ANO6"
"GO:BP","negative regulation of epithelial cell apoptotic process","GO:1904036","false","0.012407710064152559","1.9063083634060747","49","80","6","14711","BCL2,NGF,IGF1R,GAS6,ANGPT1,PKHD1"
"GO:BP","neuron projection morphogenesis","GO:0048812","false","0.016029139167518015","1.7950898004677753","487","80","14","14711","RTN4,BCL2,ENAH,NGF,AUTS2,IGF1R,IQGAP1,DCDC2A,CTNND2,SEMA5A,SEMA6A,TGFB2,DAB1,SLIT2"
"GO:BP","plasma membrane bounded cell projection morphogenesis","GO:0120039","false","0.02150614414205215","1.667437447722214","499","80","14","14711","RTN4,BCL2,ENAH,NGF,AUTS2,IGF1R,IQGAP1,DCDC2A,CTNND2,SEMA5A,SEMA6A,TGFB2,DAB1,SLIT2"
"GO:BP","axon development","GO:0061564","true","0.021667788468574162","1.6641854128568219","354","80","12","14711","NRG1,RTN4,BCL2,ENAH,NGF,AUTS2,IGF1R,SEMA5A,SEMA6A,TGFB2,DAB1,SLIT2"
"GO:BP","cell morphogenesis involved in neuron differentiation","GO:0048667","false","0.038065854969943656","1.4194644113833756","446","80","13","14711","RTN4,BCL2,ENAH,NGF,AUTS2,IGF1R,DCDC2A,CTNND2,SEMA5A,SEMA6A,TGFB2,DAB1,SLIT2"
"KEGG","PI3K-Akt signaling pathway","KEGG:04151","false","0.0007094046022856956","3.1491059983551977","255","80","9","14711","BCL2,COL4A5,NGF,CREB5,IGF1R,LAMA4,PDGFD,ANGPT1,PPP2R2B"
"KEGG","EGFR tyrosine kinase inhibitor resistance","KEGG:01521","false","0.0036692005959346793","2.4354285446283233","74","80","5","14711","NRG1,BCL2,IGF1R,GAS6,PDGFD"
"KEGG","Amoebiasis","KEGG:05146","false","0.04355109532181487","1.3610009178953957","71","80","4","14711","COL4A5,LAMA4,TGFB2,GNA14"
"REAC","Laminin interactions","REAC:R-MMU-3000157","false","0.005195448945391955","2.2843769185433462","10","80","3","14711","NID1,COL4A5,LAMA4"
"WP","Focal adhesion: PI3K-Akt-mTOR signaling pathway","WP:WP2841","false","0.010223135529654296","1.9904158816596458","233","80","7","14711","NGF,CREB5,IGF1R,LAMA4,PDGFD,ANGPT1,PPP2R2B"
