"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","carboxylic acid binding","GO:0031406","true","6.684246000587037e-7","6.174947575126415","152","94","13","14711","CPS1,PHYH,ASS1,PCK1,OTC,TDO2,PAH,NR1H4,TAT,MAT1A,ACOX1,DPYS,GNMT"
"GO:MF","organic acid binding","GO:0043177","false","0.000001009460754225455","5.995910560875509","157","94","13","14711","CPS1,PHYH,ASS1,PCK1,OTC,TDO2,PAH,NR1H4,TAT,MAT1A,ACOX1,DPYS,GNMT"
"GO:MF","amino acid binding","GO:0016597","false","0.0000012128303777317696","5.916199933812897","50","94","9","14711","CPS1,ASS1,OTC,TDO2,PAH,TAT,MAT1A,DPYS,GNMT"
"GO:MF","organic acid transmembrane transporter activity","GO:0005342","false","0.034715801383472404","1.4594728049889383","115","94","8","14711","ABCB11,SLC27A2,SLC25A13,SLC7A2,SLC38A3,SLC38A4,SLC22A30,ABCC2"
"GO:MF","carboxylic acid transmembrane transporter activity","GO:0046943","true","0.034715801383472404","1.4594728049889383","115","94","8","14711","ABCB11,SLC27A2,SLC25A13,SLC7A2,SLC38A3,SLC38A4,SLC22A30,ABCC2"
"GO:BP","small molecule catabolic process","GO:0044282","false","1.90299703957151e-12","11.720561887329772","316","94","22","14711","PHYH,KYNU,UPP2,ABCB11,SORD,SLC27A2,PCK1,OTC,TDO2,DPYD,UOX,AASS,ALDH1L1,PRODH2,ARG1,PAH,TAT,NUDT7,MAT1A,ACOX1,HGD,HOGA1"
"GO:BP","carboxylic acid catabolic process","GO:0046395","false","1.252202216996329e-11","10.902325531641447","228","94","19","14711","PHYH,KYNU,ABCB11,SORD,SLC27A2,PCK1,OTC,TDO2,AASS,ALDH1L1,PRODH2,ARG1,PAH,TAT,NUDT7,MAT1A,ACOX1,HGD,HOGA1"
"GO:BP","organic acid catabolic process","GO:0016054","false","1.252202216996329e-11","10.902325531641447","228","94","19","14711","PHYH,KYNU,ABCB11,SORD,SLC27A2,PCK1,OTC,TDO2,AASS,ALDH1L1,PRODH2,ARG1,PAH,TAT,NUDT7,MAT1A,ACOX1,HGD,HOGA1"
"GO:BP","amino acid metabolic process","GO:0006520","false","6.126049764106336e-10","9.212819479584784","242","94","18","14711","CPS1,ASS1,KYNU,OTC,TDO2,DPYD,AASS,PRODH2,ARG1,PAH,NR1H4,TAT,MAT1A,BHMT,DPYS,HGD,GNMT,HOGA1"
"GO:BP","alpha-amino acid metabolic process","GO:1901605","false","1.1798589014398433e-9","8.928169926583749","179","94","16","14711","CPS1,ASS1,KYNU,OTC,TDO2,AASS,PRODH2,ARG1,PAH,NR1H4,TAT,MAT1A,BHMT,HGD,GNMT,HOGA1"
"GO:BP","alpha-amino acid catabolic process","GO:1901606","false","1.0878903941981944e-7","6.9634148579400055","78","94","11","14711","KYNU,OTC,TDO2,AASS,PRODH2,ARG1,PAH,TAT,MAT1A,HGD,HOGA1"
"GO:BP","response to nutrient levels","GO:0031667","true","3.2630399907687836e-7","6.486377603606001","400","94","19","14711","CPS1,CFH,SERPINC1,ASS1,KYNU,SORD,PCK1,OTC,DPYD,POR,ADIPOR2,ARG1,NR1H4,ACSL1,SLC38A3,EGFR,FBP1,GHR,PPARA"
"GO:BP","amino acid catabolic process","GO:0009063","false","6.989822400880047e-7","6.155533858774726","92","94","11","14711","KYNU,OTC,TDO2,AASS,PRODH2,ARG1,PAH,TAT,MAT1A,HGD,HOGA1"
"GO:BP","response to extracellular stimulus","GO:0009991","false","0.000001015163391503172","5.99346405201937","427","94","19","14711","CPS1,CFH,SERPINC1,ASS1,KYNU,SORD,PCK1,OTC,DPYD,POR,ADIPOR2,ARG1,NR1H4,ACSL1,SLC38A3,EGFR,FBP1,GHR,PPARA"
"GO:BP","nucleobase-containing small molecule metabolic process","GO:0055086","false","0.000001707396714877431","5.7676655585193455","497","94","20","14711","CPS1,PID1,CFH,KYNU,UPP2,TDO2,FMO5,DPYD,UOX,SLC25A13,AASS,ALDH1L1,ABCC6,ACSL1,NUDT7,ADK,CMAH,DPYS,PPARA,GNMT"
"GO:BP","response to xenobiotic stimulus","GO:0009410","false","0.0000025898399957050585","5.586727066470446","344","94","17","14711","AOX3,CPS1,ASS1,ABCB11,SORD,OTC,FMO5,DPYD,CYP2J5,POR,ADIPOR2,ARG1,NR1H4,ACSL1,EGFR,FBP1,ABCC2"
"GO:BP","small molecule biosynthetic process","GO:0044283","false","0.0000042330996690031405","5.373341505873145","464","94","19","14711","ASS1,KYNU,SORD,SLC27A2,PCK1,OTC,CYP7B1,DPYD,MLXIPL,POR,SLC25A13,AASS,PAH,ADK,FBP1,BHMT,PPARA,GNMT,HOGA1"
"GO:BP","nitrogen cycle metabolic process","GO:0071941","false","0.00002638383710388987","4.578662043063267","8","94","5","14711","CPS1,ASS1,OTC,ARG1,NR1H4"
"GO:BP","urea metabolic process","GO:0019627","false","0.00002638383710388987","4.578662043063267","8","94","5","14711","CPS1,ASS1,OTC,ARG1,NR1H4"
"GO:BP","response to dexamethasone","GO:0071548","false","0.00003140003080448717","4.50306992586907","48","94","8","14711","CPS1,ASS1,PCK1,ERRFI1,POR,ARG1,TAT,EGFR"
"GO:BP","response to nutrient","GO:0007584","false","0.000036551248430288666","4.437097784858626","132","94","11","14711","SERPINC1,ASS1,KYNU,OTC,DPYD,POR,ADIPOR2,ARG1,NR1H4,ACSL1,EGFR"
"GO:BP","nucleotide metabolic process","GO:0009117","false","0.00009297751445372352","4.0316220678911625","434","94","17","14711","PID1,CFH,KYNU,UPP2,TDO2,FMO5,DPYD,UOX,SLC25A13,AASS,ALDH1L1,ABCC6,ACSL1,NUDT7,ADK,DPYS,PPARA"
"GO:BP","ribonucleotide metabolic process","GO:0009259","false","0.00012002987797042612","3.9207106354309373","329","94","15","14711","PID1,CFH,KYNU,UPP2,TDO2,DPYD,UOX,SLC25A13,AASS,ABCC6,ACSL1,NUDT7,ADK,DPYS,PPARA"
"GO:BP","nucleoside phosphate metabolic process","GO:0006753","false","0.00012251045831868402","3.9118268354119263","442","94","17","14711","PID1,CFH,KYNU,UPP2,TDO2,FMO5,DPYD,UOX,SLC25A13,AASS,ALDH1L1,ABCC6,ACSL1,NUDT7,ADK,DPYS,PPARA"
