"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","vitamin binding","GO:0019842","true","0.000001753246051947124","5.7561571303955334","107","337","18","14711","SARDH,KYAT1,CTH,GC,ALB,AFM,FTCD,AADAT,ALAS1,DDC,SRR,DMGDH,PYGL,AGXT2,ABAT,RBP4,GOT1,ADH4"
"GO:MF","pyridoxal phosphate binding","GO:0030170","false","0.0002525188144914368","3.5977062582367947","46","337","11","14711","KYAT1,CTH,ALB,AADAT,ALAS1,DDC,SRR,PYGL,AGXT2,ABAT,GOT1"
"GO:MF","vitamin B6 binding","GO:0070279","false","0.000322996532374539","3.490802140141612","47","337","11","14711","KYAT1,CTH,ALB,AADAT,ALAS1,DDC,SRR,PYGL,AGXT2,ABAT,GOT1"
"GO:MF","carboxylic acid binding","GO:0031406","false","0.0036608202120944006","2.4364215993928786","152","337","17","14711","SARDH,HNF4A,SCP2,ALB,AFM,FTCD,INSR,ACOX2,GLUD1,DDC,SRR,DMGDH,PYGL,CYP4F15,GOT1,AKR1C6,RXRA"
"GO:MF","C-acyltransferase activity","GO:0016408","true","0.003984728535342876","2.399601260119418","18","337","7","14711","SCP2,ACSM5,ACSM1,ACAT1,ACAA1B,ACAT3,ACAA2"
"GO:MF","organic acid binding","GO:0043177","false","0.005899450886083926","2.229188410093776","157","337","17","14711","SARDH,HNF4A,SCP2,ALB,AFM,FTCD,INSR,ACOX2,GLUD1,DDC,SRR,DMGDH,PYGL,CYP4F15,GOT1,AKR1C6,RXRA"
"GO:MF","acetyl-CoA C-acyltransferase activity","GO:0003988","false","0.03578169158935805","1.446339131891669","9","337","5","14711","SCP2,ACAT1,ACAA1B,ACAT3,ACAA2"
"GO:MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","GO:0016709","true","0.0376778002289906","1.4239144608764718","34","337","8","14711","CYP27A1,KMO,AKR1D1,CYP2D22,CYP4F15,CYP2E1,AKR1C6,CYP2D9"
"GO:MF","lipid transporter activity","GO:0005319","true","0.03781130985528984","1.4223782775945892","140","337","15","14711","ABCD3,ABCA1,SCP2,SLCO1B2,PITPNC1,ABCA8A,ABCA6,APOB,GRAMD1C,ABCG5,ABCG8,OSBPL1A,ATP8B1,RBP4,ABCB4"
"GO:BP","small molecule catabolic process","GO:0044282","false","2.0989200430275918e-19","18.678004105263863","316","337","46","14711","ADHFE1,CYP27A1,KMO,SARDH,KYAT1,HAO1,ABCD3,ADH1,SCP2,ECHDC2,ALDH2,SCARB1,AKR1D1,UROC1,BCKDHA,FAH,ALDH8A1,UPB1,FTCD,AMDHD1,IDO2,AADAT,LONP2,ACOX2,GLUD1,ACAT1,BCKDHB,ACAD11,ACAA1B,PIPOX,ECI2,GSTZ1,AGXT2,ABAT,ACAT3,CYP4F15,GALM,HAAO,CDO1,HSD17B4,ACAA2,CPT1A,GOT1,PON1,ADH4,XDH"
"GO:BP","organic acid catabolic process","GO:0016054","false","1.8129655978219026e-17","16.741610436840986","228","337","38","14711","ADHFE1,KMO,SARDH,KYAT1,HAO1,ABCD3,SCP2,ECHDC2,AKR1D1,UROC1,BCKDHA,FAH,ALDH8A1,FTCD,AMDHD1,IDO2,AADAT,LONP2,ACOX2,GLUD1,ACAT1,BCKDHB,ACAD11,ACAA1B,PIPOX,ECI2,GSTZ1,AGXT2,ABAT,ACAT3,CYP4F15,HAAO,CDO1,HSD17B4,ACAA2,CPT1A,GOT1,PON1"
"GO:BP","carboxylic acid catabolic process","GO:0046395","false","1.8129655978219026e-17","16.741610436840986","228","337","38","14711","ADHFE1,KMO,SARDH,KYAT1,HAO1,ABCD3,SCP2,ECHDC2,AKR1D1,UROC1,BCKDHA,FAH,ALDH8A1,FTCD,AMDHD1,IDO2,AADAT,LONP2,ACOX2,GLUD1,ACAT1,BCKDHB,ACAD11,ACAA1B,PIPOX,ECI2,GSTZ1,AGXT2,ABAT,ACAT3,CYP4F15,HAAO,CDO1,HSD17B4,ACAA2,CPT1A,GOT1,PON1"
"GO:BP","amino acid metabolic process","GO:0006520","false","1.605109619448429e-16","15.79449530251401","242","337","38","14711","ADHFE1,KMO,SARDH,KYAT1,FPGS,HAO1,HNF4A,SLC16A2,CTH,AGMAT,ASL,UROC1,BCKDHA,FAH,NOX4,ALDH8A1,UPB1,FTCD,AMDHD1,IDO2,AADAT,GLUD1,ACAT1,BCKDHB,DDC,PEMT,SRR,PIPOX,BHMT2,MTHFD1,GSTZ1,AGXT2,CYP2D22,ABAT,COMT,HAAO,CDO1,GOT1"
"GO:BP","alpha-amino acid metabolic process","GO:1901605","false","4.565109590149729e-15","14.340548792318945","179","337","32","14711","ADHFE1,KMO,SARDH,KYAT1,FPGS,HAO1,HNF4A,CTH,AGMAT,ASL,UROC1,FAH,NOX4,ALDH8A1,FTCD,AMDHD1,IDO2,AADAT,GLUD1,ACAT1,PEMT,SRR,PIPOX,BHMT2,MTHFD1,GSTZ1,AGXT2,CYP2D22,COMT,HAAO,CDO1,GOT1"
"GO:BP","amino acid catabolic process","GO:0009063","false","4.532004959990632e-12","11.343709623500745","92","337","22","14711","ADHFE1,KMO,SARDH,KYAT1,UROC1,BCKDHA,FAH,ALDH8A1,FTCD,AMDHD1,IDO2,AADAT,GLUD1,ACAT1,BCKDHB,PIPOX,GSTZ1,AGXT2,ABAT,HAAO,CDO1,GOT1"
"GO:BP","organic hydroxy compound metabolic process","GO:1901615","false","1.6782876255426056e-10","9.775133607582719","420","337","41","14711","PECR,CYP27A1,HDLBP,CAT,HAO1,SLC16A2,HMGCS2,ABCD3,ADH1,ABCA1,SCP2,GC,ALDH2,SCARB1,AKR1D1,LPCAT3,HPN,FAH,RDH7,CES1C,EPHX2,LDLR,LIPC,ACAA1B,SEC14L2,DDC,APOB,CYP2D22,ABAT,COMT,CYP4F15,TTR,ATP8B1,RBP4,GOT1,PON1,CYP2E1,RDH16,AKR1C6,ADH4,PLPP3"
"GO:BP","steroid metabolic process","GO:0008202","false","7.634937132740558e-10","9.117194534641126","250","337","31","14711","CYP27A1,HDLBP,CAT,HMGCS2,HSD3B2,ABCD3,ABCA1,SCP2,UGT2B36,GC,SCARB1,AKR1D1,LPCAT3,IGF1,RDH7,CES1C,EPHX2,LDLR,LIPC,ACAA1B,SEC14L2,G6PC,APOB,CYP2D22,COMT,HSD17B4,ATP8B1,PON1,CYP2E1,RDH16,AKR1C6"
"GO:BP","fatty acid metabolic process","GO:0006631","false","4.421936130407399e-9","8.354387534577736","360","337","36","14711","PECR,ACBD5,HAO1,HNF4A,ABCD3,SCP2,ECHDC2,PRKAG2,ACSM5,ACSM1,LONP2,CES1C,ACOX2,EPHX2,ACAT1,LIPC,ACAD11,ACAA1B,FADS6,ECI2,ELOVL2,ACOT12,CYP2D22,ACAT3,CYP4F15,HSD17B4,ACAA2,CYB5A,CPT1A,FADS2,CYP2C70,CYP2E1,AKR1C6,ADH4,MGLL,CYP2D9"
"GO:BP","small molecule biosynthetic process","GO:0044283","false","4.968637958976036e-9","8.303762647075594","464","337","41","14711","PECR,CYP27A1,KMO,HAO1,HNF4A,FOXO1,HMGCS2,ABCD3,CTH,SCP2,PRKAG2,ASL,AKR1D1,LPCAT3,ACSM5,ACSM1,ALDH8A1,UPB1,CES1C,CAR5A,SLC39A14,LIPC,SEC14L2,SRR,G6PC,FADS6,ELOVL2,BHMT2,APOB,MTHFD1,AGXT2,ABAT,HAAO,CDO1,PCX,FADS2,RBP4,GOT1,TCF7L2,RDH16,MGLL"
"GO:BP","organic acid biosynthetic process","GO:0016053","false","3.1390286113298753e-8","7.5032047258144345","250","337","29","14711","PECR,CYP27A1,KMO,HAO1,HNF4A,ABCD3,CTH,PRKAG2,ASL,AKR1D1,ACSM5,ACSM1,ALDH8A1,UPB1,CES1C,LIPC,SRR,FADS6,ELOVL2,BHMT2,MTHFD1,AGXT2,ABAT,HAAO,CDO1,FADS2,GOT1,RDH16,MGLL"
"GO:BP","carboxylic acid biosynthetic process","GO:0046394","false","1.408441761077423e-7","6.851261106339286","247","337","28","14711","PECR,CYP27A1,KMO,HAO1,HNF4A,ABCD3,CTH,PRKAG2,ASL,AKR1D1,ACSM5,ACSM1,ALDH8A1,UPB1,CES1C,LIPC,SRR,FADS6,ELOVL2,BHMT2,MTHFD1,AGXT2,ABAT,HAAO,FADS2,GOT1,RDH16,MGLL"
"GO:BP","regulation of hormone levels","GO:0010817","true","1.6141994679109718e-7","6.792042800183652","406","337","36","14711","CYP27A1,RAPGEF4,HNF4A,SLC16A2,SLC2A2,FOXO1,HSD3B2,ADH1,SCP2,ECE1,UGT2B36,PSMD9,SCARB1,TFR2,AKR1D1,ITPR1,HPN,SIRT3,ALDH8A1,IGF1,RDH7,GLUD1,SLC39A14,CYP2D22,ABAT,COMT,TTR,HSD17B4,CPT1A,PAPSS2,RBP4,TCF7L2,RDH16,AKR1C6,F2,ADH4"
"GO:BP","hormone metabolic process","GO:0042445","false","2.697132720134793e-7","6.569097682318338","168","337","23","14711","CYP27A1,SLC16A2,HSD3B2,ADH1,SCP2,ECE1,UGT2B36,SCARB1,AKR1D1,HPN,ALDH8A1,IGF1,RDH7,CYP2D22,COMT,TTR,HSD17B4,PAPSS2,RBP4,TCF7L2,RDH16,AKR1C6,ADH4"
"GO:BP","alpha-amino acid catabolic process","GO:1901606","false","9.585141763734456e-7","6.01840145954624","78","337","16","14711","ADHFE1,KMO,SARDH,KYAT1,FAH,ALDH8A1,IDO2,AADAT,GLUD1,ACAT1,PIPOX,GSTZ1,AGXT2,HAAO,CDO1,GOT1"
"GO:BP","alcohol metabolic process","GO:0006066","false","0.0000077490510098373","5.1107514802584015","292","337","28","14711","PECR,CYP27A1,HDLBP,CAT,HAO1,HMGCS2,ADH1,ABCA1,SCP2,ALDH2,SCARB1,AKR1D1,LPCAT3,RDH7,CES1C,EPHX2,LDLR,LIPC,SEC14L2,APOB,TTR,RBP4,GOT1,PON1,RDH16,AKR1C6,ADH4,PLPP3"
"GO:BP","lipid catabolic process","GO:0016042","false","0.00002371851240852908","4.624912552787812","266","337","26","14711","CYP27A1,HAO1,ABCD3,SCP2,ECHDC2,SCARB1,AKR1D1,LONP2,CES1C,ACOX2,PCCA,LDLR,ACAT1,LIPC,ACAD11,ACAA1B,ECI2,APOB,ENPP2,PLCXD2,ACAT3,CYP4F15,HSD17B4,ACAA2,CPT1A,MGLL"
"GO:BP","cellular modified amino acid metabolic process","GO:0006575","false","0.00002979787925132891","4.5258146440519305","97","337","16","14711","SARDH,KYAT1,FPGS,BBOX1,SLC16A2,ASL,LPCAT3,HPN,FTCD,LIPC,PEMT,BHMT2,DMGDH,MTHFD1,CDO1,CPT1A"
